tbl,Year,quarter,citymarketid_1,citymarketid_2,City1,City2,nsmiles,airportid_1,airportid_2,airport_1,airport_2,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low
Table1a,2016,2,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",677,10140,12954,ABQ,LGB,7.8021978021978,263.871830985915,AA,0.788732394366197,259.410714285714,WN,0.112676056338028,258.75
Table1a,2016,2,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",677,10140,13891,ABQ,ONT,64.0659340659341,261.526243567753,WN,0.852487135506003,262.615291750503,AA,0.132075471698113,255.38961038961
Table1a,2016,2,30140,32575,"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",677,10140,14908,ABQ,SNA,78.1318681318681,240.569198312236,WN,0.718706047819972,235.790215264188,WN,0.718706047819972,235.790215264188
Table1a,2016,2,30158,32467,"Atlantic City, NJ","Miami, FL (Metropolitan Area)",977,10158,11697,ACY,FLL,356.923076923077,98.3575123152709,NK,1,98.3575123152709,NK,1,98.3575123152709
Table1a,2016,2,30189,30194,"Colorado Springs, CO","Dallas/Fort Worth, TX",592,11109,11298,COS,DFW,197.252747252747,208.588690807799,AA,0.941504178272981,207.373964497041,UA,0.0534818941504178,205.2125
Table1a,2016,2,30189,30852,"Colorado Springs, CO","Washington, DC (Metropolitan Area)",1503,11109,10821,COS,BWI,50,321.322857142857,AA,0.450549450549451,301.391219512195,AA,0.450549450549451,301.391219512195
Table1a,2016,2,30189,30852,"Colorado Springs, CO","Washington, DC (Metropolitan Area)",1503,11109,11278,COS,DCA,87.3626373626374,280.643270440252,AA,0.545911949685535,270.055299539171,AA,0.545911949685535,270.055299539171
Table1a,2016,2,30189,30852,"Colorado Springs, CO","Washington, DC (Metropolitan Area)",1503,11109,12264,COS,IAD,72.7472527472527,317.169033232628,UA,0.827794561933535,310.803832116788,UA,0.827794561933535,310.803832116788
Table1a,2016,2,30194,30198,"Dallas/Fort Worth, TX","Pittsburgh, PA",1067,11259,14122,DAL,PIT,185.164835164835,182.628902077151,WN,0.936498516320475,180.269771863118,WN,0.936498516320475,180.269771863118
Table1a,2016,2,30194,30198,"Dallas/Fort Worth, TX","Pittsburgh, PA",1067,11298,14122,DFW,PIT,467.142857142857,264.364972947542,AA,0.834627146553752,275.655890642616,UA,0.0618677958127499,186.190874524715
Table1a,2016,2,30194,30325,"Dallas/Fort Worth, TX","Denver, CO",651,11259,11292,DAL,DEN,1046.37362637363,134.553896240286,WN,0.999264860323462,134.534776668418,WN,0.999264860323462,134.534776668418
Table1a,2016,2,30194,30325,"Dallas/Fort Worth, TX","Denver, CO",651,11298,11292,DFW,DEN,1963.73626373626,129.55987688864,AA,0.546222719641858,144.316197110952,F9,0.186401790710688,75.0513659561693
Table1a,2016,2,30194,30436,"Dallas/Fort Worth, TX","Tucson, AZ",824,11259,15376,DAL,TUS,16.8131868131868,244.585620915033,WN,1,244.585620915033,WN,1,244.585620915033
Table1a,2016,2,30194,30436,"Dallas/Fort Worth, TX","Tucson, AZ",824,11298,15376,DFW,TUS,196.153846153846,278.640840336134,AA,0.952941176470588,280.752616108172,UA,0.0207282913165266,236.713513513514
Table1a,2016,2,30194,30466,"Dallas/Fort Worth, TX","Phoenix, AZ",879,11259,14107,DAL,PHX,824.945054945055,153.5783668576,WN,0.99893432796057,153.536218162422,WN,0.99893432796057,153.536218162422
Table1a,2016,2,30194,30466,"Dallas/Fort Worth, TX","Phoenix, AZ",879,11298,14107,DFW,PHX,1458.35164835165,158.032702885992,AA,0.947479466505915,159.307237156036,NK,0.023359204280009,87.6561290322581
Table1a,2016,2,30194,30529,"Dallas/Fort Worth, TX","Hartford, CT",1471,11259,10529,DAL,BDL,39.2307692307692,283.374789915966,WN,0.857142857142857,281.17614379085,WN,0.857142857142857,281.17614379085
Table1a,2016,2,30194,30529,"Dallas/Fort Worth, TX","Hartford, CT",1471,11298,10529,DFW,BDL,256.703296703297,337.686087328767,AA,0.806078767123288,341.786776420605,DL,0.136130136986301,323.401572327044
Table1a,2016,2,30194,30559,"Dallas/Fort Worth, TX","Seattle, WA",1670,11259,14747,DAL,SEA,208.021978021978,193.280507131537,WN,0.940834653988378,192.81982032566,VX,0.051769677760169,189.348979591837
Table1a,2016,2,30194,30559,"Dallas/Fort Worth, TX","Seattle, WA",1670,11298,14747,DFW,SEA,1459.01098901099,215.184371469458,AA,0.589967613165625,219.571913698455,AS,0.326353844995104,207.320747749827
Table1a,2016,2,30194,30615,"Dallas/Fort Worth, TX","El Paso, TX",562,11259,11540,DAL,ELP,391.978021978022,225.150154191197,WN,0.99887860947575,225.202329497614,WN,0.99887860947575,225.202329497614
Table1a,2016,2,30194,30615,"Dallas/Fort Worth, TX","El Paso, TX",562,11298,11540,DFW,ELP,251.098901098901,248.181006564551,AA,0.985120350109409,248.825499777877,UA,0.012691466083151,210.837931034483
Table1a,2016,2,30194,30693,"Dallas/Fort Worth, TX","Nashville, TN",631,11259,10693,DAL,BNA,426.703296703297,216.779500386299,WN,0.98300283286119,216.73976945245,WN,0.98300283286119,216.73976945245
Table1a,2016,2,30194,30693,"Dallas/Fort Worth, TX","Nashville, TN",631,11298,10693,DFW,BNA,739.450549450549,204.505245950364,AA,0.958983504235399,203.314892298156,AA,0.958983504235399,203.314892298156
Table1a,2016,2,30194,30852,"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",1217,11259,10821,DAL,BWI,691.978021978022,169.298872478958,WN,0.98443703350802,169.336973705436,WN,0.98443703350802,169.336973705436
Table1a,2016,2,30194,30852,"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",1217,11259,11278,DAL,DCA,935.054945054945,166.136385004113,WN,0.578093783053238,168.766598902216,VX,0.41614760841462,162.030754024287
Table1a,2016,2,30194,30852,"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",1217,11259,12264,DAL,IAD,13.4065934065934,226.854098360656,WN,0.540983606557377,216.040909090909,WN,0.540983606557377,216.040909090909
Table1a,2016,2,30194,30852,"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",1217,11298,10821,DFW,BWI,796.043956043956,170.773881833241,AA,0.718663721700718,191.708048405686,NK,0.212727774710105,92.6973393900065
Table1a,2016,2,30194,30852,"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",1217,11298,11278,DFW,DCA,1201.20879120879,234.121059372427,AA,0.947122861586314,235.548034386168,UA,0.0116183331808618,196.100787401575
Table1a,2016,2,30194,30852,"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",1217,11298,12264,DFW,IAD,625.934065934066,217.41715238764,AA,0.600070224719101,212.744616734933,AA,0.600070224719101,212.744616734933
Table1a,2016,2,30194,31123,"Dallas/Fort Worth, TX","St. Louis, MO",550,11259,15016,DAL,STL,651.098901098901,189.15758649789,WN,0.995274261603376,188.980871629642,WN,0.995274261603376,188.980871629642
Table1a,2016,2,30194,31123,"Dallas/Fort Worth, TX","St. Louis, MO",550,11298,15016,DFW,STL,573.846153846154,201.389199540406,AA,0.952508617387974,201.776437474869,DL,0.0270011489850632,199.403546099291
Table1a,2016,2,30194,31136,"Dallas/Fort Worth, TX","Jacksonville, FL",918,11259,12451,DAL,JAX,74.6153846153846,226.848159057437,WN,0.771723122238586,225.12786259542,WN,0.771723122238586,225.12786259542
Table1a,2016,2,30194,31136,"Dallas/Fort Worth, TX","Jacksonville, FL",918,11298,12451,DFW,JAX,347.912087912088,297.573689197726,AA,0.797220467466835,307.81588748019,DL,0.185091598231207,257.168088737201
Table1a,2016,2,30194,31267,"Dallas/Fort Worth, TX","Dayton, OH",861,11259,11267,DAL,DAY,14.6153846153846,245.489473684211,WN,0.834586466165414,242.497297297297,WN,0.834586466165414,242.497297297297
Table1a,2016,2,30194,31267,"Dallas/Fort Worth, TX","Dayton, OH",861,11298,11267,DFW,DAY,168.241758241758,290.402808621816,AA,0.879817112998041,295.839717891611,DL,0.085564990202482,247.93358778626
Table1a,2016,2,30194,31295,"Dallas/Fort Worth, TX","Detroit, MI",986,11259,11433,DAL,DTW,197.252747252747,153.491866295265,WN,0.978272980501393,150.091799544419,WN,0.978272980501393,150.091799544419
Table1a,2016,2,30194,31295,"Dallas/Fort Worth, TX","Detroit, MI",986,11298,11433,DFW,DTW,1282.63736263736,170.226764907471,AA,0.58918779986292,164.238941398866,NK,0.112148732008225,88.5067990832697
Table1a,2016,2,30194,31423,"Dallas/Fort Worth, TX","Des Moines, IA",624,11259,11423,DAL,DSM,10.989010989011,215.224,WN,1,215.224,WN,1,215.224
Table1a,2016,2,30194,31423,"Dallas/Fort Worth, TX","Des Moines, IA",624,11298,11423,DFW,DSM,183.296703296703,268.198321342926,AA,0.877098321342926,269.108407382092,UA,0.078537170263789,238.252671755725
Table1a,2016,2,30194,31453,"Dallas/Fort Worth, TX","Houston, TX",247,11259,12191,DAL,HOU,1812.96703296703,194.563904715723,WN,0.999393865923142,194.582508491024,WN,0.999393865923142,194.582508491024
Table1a,2016,2,30194,31453,"Dallas/Fort Worth, TX","Houston, TX",247,11298,12191,DFW,HOU,237.142857142857,204.783364226135,AA,0.972659870250232,205.485421629347,AA,0.972659870250232,205.485421629347
Table1a,2016,2,30194,31453,"Dallas/Fort Worth, TX","Houston, TX",247,11298,12266,DFW,IAH,739.230769230769,202.285045339676,AA,0.571428571428571,205.891129032258,UA,0.425598335067638,197.127453719874
Table1a,2016,2,30194,31454,"Dallas/Fort Worth, TX","Orlando, FL",985,11259,13204,DAL,MCO,717.032967032967,154.090130268199,WN,0.973180076628352,153.363480314961,WN,0.973180076628352,153.363480314961
Table1a,2016,2,30194,31454,"Dallas/Fort Worth, TX","Orlando, FL",985,11298,13204,DFW,MCO,1877.25274725275,155.137446584324,AA,0.865012000234151,161.199214996278,NK,0.080782064040274,85.3969565217391
Table1a,2016,2,30194,31650,"Dallas/Fort Worth, TX","Minneapolis/St. Paul, MN",853,11259,13487,DAL,MSP,101.978021978022,150.043426724138,WN,0.978448275862069,146.708370044053,WN,0.978448275862069,146.708370044053
Table1a,2016,2,30194,31650,"Dallas/Fort Worth, TX","Minneapolis/St. Paul, MN",853,11298,13487,DFW,MSP,1375.93406593407,173.61832122035,AA,0.487421132497404,180.006128133705,SY,0.129302771344142,96.4595429277332
Table1a,2016,2,30194,31703,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",1428,11259,11618,DAL,EWR,48.7912087912088,245.931306306306,WN,0.880630630630631,240.247570332481,WN,0.880630630630631,240.247570332481
Table1a,2016,2,30194,31703,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",1428,11259,12197,DAL,HPN,3.07692307692308,175.853571428571,DL,0.928571428571429,177.788461538462,DL,0.928571428571429,177.788461538462
Table1a,2016,2,30194,31703,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",1428,11259,12391,DAL,ISP,13.4065934065934,225.135245901639,WN,0.983606557377049,224.039166666667,WN,0.983606557377049,224.039166666667
Table1a,2016,2,30194,31703,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",1428,11259,12478,DAL,JFK,1.42857142857143,228.876923076923,DL,0.307692307692308,336.925,DL,0.307692307692308,336.925
Table1a,2016,2,30194,31703,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",1428,11259,12953,DAL,LGA,1297.47252747253,161.816363174388,VX,0.51715084272042,171.334474287586,WN,0.475141864995342,151.045080213904
Table1a,2016,2,30194,31703,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",1428,11298,11618,DFW,EWR,1295.05494505495,276.633712346203,UA,0.484429359355112,262.272569626905,UA,0.484429359355112,262.272569626905
Table1a,2016,2,30194,31703,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",1428,11298,12197,DFW,HPN,35.1648351648352,240.9628125,AA,0.71875,231.310434782609,AA,0.71875,231.310434782609
Table1a,2016,2,30194,31703,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",1428,11298,12391,DFW,ISP,4.94505494505495,316.095555555556,AA,1,316.095555555556,AA,1,316.095555555556
Table1a,2016,2,30194,31703,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",1428,11298,12478,DFW,JFK,275.274725274725,212.028223552894,AA,0.670259481037924,208.750148898154,AA,0.670259481037924,208.750148898154
Table1a,2016,2,30194,31703,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",1428,11298,12953,DFW,LGA,2948.68131868132,198.259620616405,AA,0.696604926769277,206.790156216563,DL,0.210039876271755,202.536231369766
Table1a,2016,2,30194,31703,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",1428,11298,15070,DFW,SWF,8.79120879120879,269.77625,AA,0.75,259.016666666667,AA,0.75,259.016666666667
Table1a,2016,2,30194,31714,"Dallas/Fort Worth, TX","Fort Myers, FL",1017,11259,14635,DAL,RSW,26.7032967032967,216.004938271605,WN,0.674897119341564,215.859756097561,WN,0.674897119341564,215.859756097561
Table1a,2016,2,30194,31714,"Dallas/Fort Worth, TX","Fort Myers, FL",1017,11298,14635,DFW,RSW,240.879120879121,239.510082116788,AA,0.776459854014598,245.83883666275,DL,0.18521897810219,224.883004926108
Table1a,2016,2,30194,31871,"Dallas/Fort Worth, TX","Greenville/Spartanburg, SC",862,11259,11996,DAL,GSP,36.3736263736264,208.347734138973,WN,0.75226586102719,206.203614457831,WN,0.75226586102719,206.203614457831
Table1a,2016,2,30194,31871,"Dallas/Fort Worth, TX","Greenville/Spartanburg, SC",862,11298,11996,DFW,GSP,175.824175824176,271.0166875,AA,0.789375,275.46927949327,DL,0.186875,255.178260869565
Table1a,2016,2,30194,32211,"Dallas/Fort Worth, TX","Las Vegas, NV",1067,11259,12889,DAL,LAS,1200.65934065934,145.784504850815,WN,0.786198059674172,146.753457508731,VX,0.212612117883947,142.264141196728
Table1a,2016,2,30194,32211,"Dallas/Fort Worth, TX","Las Vegas, NV",1067,11298,12889,DFW,LAS,1858.02197802198,153.81340785427,AA,0.818961438372368,163.869329096555,NK,0.149278448071919,94.9515451664025
Table1a,2016,2,30194,32337,"Dallas/Fort Worth, TX","Indianapolis, IN",761,11259,12339,DAL,IND,187.252747252747,201.915727699531,WN,0.945422535211268,201.879329608939,DL,0.051056338028169,199.14367816092
Table1a,2016,2,30194,32337,"Dallas/Fort Worth, TX","Indianapolis, IN",761,11298,12339,DFW,IND,533.296703296703,257.922583968679,AA,0.861116834947455,263.390045465422,UA,0.0346177622089429,201.838095238095
Table1a,2016,2,30194,32457,"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)",1476,11259,13796,DAL,OAK,419.340659340659,167.938626834382,WN,0.996331236897275,167.859652814308,WN,0.996331236897275,167.859652814308
Table1a,2016,2,30194,32457,"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)",1476,11259,14771,DAL,SFO,621.758241758242,181.504418522446,VX,0.748144220572641,190.006000472478,WN,0.244962884411453,155.613131313131
Table1a,2016,2,30194,32457,"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)",1476,11259,14831,DAL,SJC,239.450549450549,188.723680587425,WN,0.998623221661313,188.797518382353,WN,0.998623221661313,188.797518382353
Table1a,2016,2,30194,32457,"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)",1476,11298,13796,DFW,OAK,231.868131868132,115.05345971564,NK,0.868720379146919,91.6152209492635,NK,0.868720379146919,91.6152209492635
Table1a,2016,2,30194,32457,"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)",1476,11298,14771,DFW,SFO,1608.68131868132,204.524503039825,AA,0.718013525514038,208.845932832271,UA,0.240931757633718,184.087751630281
Table1a,2016,2,30194,32457,"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)",1476,11298,14831,DFW,SJC,376.703296703297,282.205075845974,AA,0.885939323220537,286.636055317748,DL,0.074095682613769,221.253543307087
Table1a,2016,2,30194,32467,"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)",1121,11259,11697,DAL,FLL,388.681318681319,148.498586372632,WN,0.981622844218264,147.602304147465,WN,0.981622844218264,147.602304147465
Table1a,2016,2,30194,32467,"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)",1121,11259,13303,DAL,MIA,5.38461538461539,153.951020408163,DL,1,153.951020408163,DL,1,153.951020408163
Table1a,2016,2,30194,32467,"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)",1121,11298,11697,DFW,FLL,999.78021978022,140.10527588481,AA,0.788634864805452,148.399344947735,NK,0.175203341393713,88.067252195734
Table1a,2016,2,30194,32467,"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)",1121,11298,13303,DFW,MIA,1094.3956043956,179.345667235666,AA,0.975097901395723,178.906600762022,AA,0.975097901395723,178.906600762022
Table1a,2016,2,30194,32575,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",1246,11259,10800,DAL,BUR,64.9450549450549,197.856852791878,WN,0.991539763113367,197.833276450512,WN,0.991539763113367,197.833276450512
Table1a,2016,2,30194,32575,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",1246,11259,12892,DAL,LAX,1382.1978021978,150.052885991414,WN,0.59572269041183,143.803736821033,WN,0.59572269041183,143.803736821033
Table1a,2016,2,30194,32575,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",1246,11259,12954,DAL,LGB,1.42857142857143,158.384615384615,WN,1,158.384615384615,WN,1,158.384615384615
Table1a,2016,2,30194,32575,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",1246,11259,13891,DAL,ONT,77.9120879120879,231.476304654443,WN,0.992947813822285,231.896875,WN,0.992947813822285,231.896875
Table1a,2016,2,30194,32575,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",1246,11259,14908,DAL,SNA,295.494505494506,208.665414652287,WN,0.996281145407215,208.606569615528,WN,0.996281145407215,208.606569615528
