matches,team,year
13,frc498,2009
8,frc4762,2016
20,frc3009,2009
48,frc4334,2014
35,frc4,2015
9,frc3023,2011
35,frc4913,2016
64,frc573,2010
46,frc948,2016
17,frc335,2008
11,frc2869,2009
45,frc6750,2017
9,frc2654,2012
9,frc2550,2012
17,frc1685,2008
19,frc1306,2006
54,frc126,2014
27,frc3180,2017
9,frc2028,2011
12,frc5207,2015
29,frc5235,2015
17,frc4509,2013
9,frc867,2015
54,frc66,2016
17,frc3487,2012
43,frc5426,2017
8,frc1281,2005
27,frc1572,2008
23,frc2339,2016
25,frc4256,2017
45,frc4,2006
9,frc1447,2007
26,frc3940,2014
25,frc4145,2017
12,frc5593,2016
28,frc585,2017
25,frc2439,2010
31,frc935,2010
11,frc4403,2013
21,frc2468,2010
46,frc2771,2011
26,frc486,2007
23,frc2408,2016
13,frc2853,2009
36,frc6560,2017
10,frc1369,2013
9,frc2576,2015
8,frc590,2017
39,frc4498,2014
11,frc4114,2013
24,frc4409,2013
13,frc3110,2012
8,frc6044,2016
9,frc2521,2012
58,frc2415,2011
10,frc3189,2011
71,frc3310,2014
10,frc2398,2012
24,frc5188,2014
12,frc3299,2014
42,frc5032,2017
9,frc4304,2013
18,frc1987,2008
8,frc4383,2016
25,frc1518,2010
9,frc554,2008
7,frc3256B,2012
8,frc4687,2016
10,frc3276,2014
9,frc2743,2009
6,frc3084,2010
26,frc3673,2014
8,frc1584,2009
7,frc3004,2009
10,frc3319,2014
22,frc3490,2015
11,frc2027,2009
41,frc294,2011
24,frc2145,2016
25,frc2348,2009
28,frc691,2014
11,frc158,2007
46,frc1939,2016
16,frc807,2005
12,frc1753,2006
11,frc2156,2008
15,frc2530,2014
9,frc6602,2017
11,frc3290,2011
54,frc375,2008
14,frc3939,2014
20,frc295,2017
52,frc45,2008
9,frc3279,2012
40,frc3928,2016
9,frc3120,2017
9,frc3763,2013
23,frc5259,2014
24,frc4311,2014
11,frc4816,2014
29,frc3721,2017
39,frc5030,2015
9,frc3184,2011
56,frc5450,2016
33,frc3773,2016
10,frc2170,2011
13,frc352,2008
10,frc1682,2007
10,frc3863,2011
20,frc3466,2011
40,frc1279,2015
22,frc5908,2016
39,frc4471,2015
32,frc138,2012
23,frc2194,2011
13,frc2531,2016
58,frc3256,2014
41,frc1153,2009
12,frc558,2011
10,frc1755,2010
9,frc3475,2011
21,frc5872,2017
37,frc1785,2016
12,frc4580,2014
27,frc2522,2017
7,frc967,2005
10,frc492,2011
23,frc3104,2017
28,frc470,2012
15,frc686,2006
79,frc67,2008
10,frc3402,2012
10,frc3470,2011
12,frc3049,2011
30,frc3070,2016
66,frc3929,2017
20,frc6758,2017
39,frc1625,2013
11,frc3829,2013
25,frc894,2005
11,frc4364,2013
10,frc1837,2006
89,frc701,2015
26,frc2341,2014
8,frc3152,2017
9,frc3314,2010
11,frc3341,2014
9,frc417,2005
28,frc1519,2009
58,frc4125,2014
8,frc4933,2017
15,frc1001,2007
16,frc204,2008
11,frc3220,2012
8,frc743,2016
73,frc217,2012
10,frc213,2008
7,frc128,2006
10,frc3469,2013
8,frc3090,2016
26,frc111,2005
8,frc421,2008
9,frc4733,2017
34,frc1792,2017
7,frc549,2005
29,frc3570,2016
7,frc1033,2005
12,frc547,2015
8,frc449,2006
10,frc3860,2011
21,frc2361,2009
15,frc5836,2015
11,frc3386,2016
12,frc2992,2011
23,frc291,2011
24,frc5525,2015
23,frc4786,2016
34,frc342,2008
7,frc1820,2007
10,frc3545,2014
9,frc3227,2012
8,frc1549,2007
36,frc2914,2012
9,frc4235,2014
50,frc359,2008
30,frc20,2007
23,frc3250,2013
8,frc1236,2008
15,frc1187,2006
9,frc2847,2011
24,frc751,2010
30,frc3201,2017
8,frc2600,2008
10,frc1522,2015
45,frc469,2016
11,frc3370,2013
12,frc670,2005
10,frc4142,2013
24,frc3537,2014
42,frc1528,2016
28,frc2010,2016
25,frc2554,2012
12,frc4633,2015
34,frc287,2009
5,frc435,2004
28,frc1594,2008
85,frc2590,2014
12,frc1763,2013
26,frc6081,2017
49,frc4329,2015
23,frc207,2013
7,frc2819,2009
45,frc5124,2015
28,frc1076,2012
12,frc3851,2013
10,frc3500,2011
41,frc71,2014
12,frc5537,2015
24,frc2050,2009
11,frc5734,2015
18,frc1148,2006
21,frc1625,2007
23,frc4778,2015
10,frc2262,2012
9,frc3237,2013
7,frc546,2006
19,frc989,2005
9,frc2404,2008
32,frc6090,2016
10,frc3666,2013
21,frc4601,2013
15,frc714,2008
10,frc2556,2012
29,frc843,2012
31,frc522,2012
71,frc4910,2016
14,frc2840,2014
10,frc4487,2014
32,frc4767,2017
30,frc5546,2017
10,frc1877,2006
10,frc2862,2010
23,frc2534,2013
33,frc4475,2015
22,frc3556,2017
18,frc533,2008
24,frc5231,2016
28,frc753,2015
28,frc2538,2012
10,frc2216,2014
57,frc123,2016
35,frc188,2006
20,frc3009,2017
44,frc498,2017
107,frc1241,2014
21,frc2172,2011
47,frc858,2012
43,frc930,2017
20,frc3521,2011
18,frc1390,2005
11,frc3468,2016
10,frc3091,2010
63,frc1806,2014
10,frc1823,2006
26,frc4537,2017
10,frc4801,2016
38,frc3196,2012
12,frc4798,2015
24,frc5575,2016
9,frc1382,2010
12,frc2141,2016
15,frc877,2011
31,frc4192,2016
14,frc5573,2015
27,frc2230,2015
25,frc832,2014
35,frc1700,2016
11,frc4267,2012
64,frc20,2013
11,frc1972,2009
11,frc2167,2014
40,frc292,2012
19,frc2585,2015
26,frc4750,2013
27,frc6456,2017
10,frc5657,2015
8,frc2120,2008
11,frc6447,2017
10,frc2084,2011
13,frc3526,2015
10,frc3945,2012
23,frc2399,2014
66,frc3461,2016
19,frc4787,2017
10,frc1214,2005
51,frc1503,2008
10,frc1571,2006
50,frc201,2011
26,frc3160,2011
12,frc896,2014
24,frc4132,2014
69,frc1296,2016
26,frc3193,2013
10,frc2161,2016
10,frc1763,2007
10,frc3957,2012
12,frc2477,2016
24,frc6074,2016
81,frc384,2017
28,frc401,2014
7,frc1038,2005
12,frc2713,2011
11,frc4126,2012
24,frc5161,2017
26,frc191,2006
19,frc4470B,2015
24,frc1216,2009
26,frc1772,2008
8,frc388,2008
22,frc159,2011
36,frc1280,2012
11,frc5043,2014
22,frc3019,2012
8,frc2601,2012
25,frc4069,2015
8,frc872,2009
40,frc107,2010
17,frc2481,2010
27,frc3274,2016
10,frc4273,2012
12,frc3701,2013
10,frc1840,2006
12,frc2545,2011
28,frc2706,2016
29,frc3302,2012
24,frc1807,2015
11,frc1943,2016
11,frc3732,2012
20,frc157,2008
8,frc2479,2013
50,frc623,2017
45,frc47,2005
9,frc406,2007
18,frc585B,2015
9,frc1369,2007
8,frc1570,2006
44,frc486,2013
28,frc2549,2011
10,frc1607,2011
10,frc1580,2014
47,frc1941,2011
15,frc3005,2011
22,frc353,2011
19,frc1508,2006
11,frc225,2005
21,frc3577,2016
14,frc2090,2015
9,frc1915,2006
49,frc2923,2014
19,frc5434,2017
8,frc1742,2017
14,frc6054,2017
11,frc1601,2014
15,frc2947,2010
25,frc3476,2012
26,frc4740,2016
11,frc2148,2013
24,frc415,2013
10,frc514,2011
56,frc3142,2015
24,frc4579,2016
20,frc1160,2009
38,frc1741,2011
30,frc358,2016
10,frc3740,2014
39,frc337,2014
40,frc1885,2014
20,frc4935,2015
11,frc4072,2013
66,frc141,2016
43,frc6738,2017
49,frc288,2015
11,frc3261,2011
9,frc6403,2017
57,frc1310,2014
11,frc1631,2014
11,frc4076,2016
16,frc509,2008
17,frc973B,2013
12,frc1101,2005
47,frc176,2008
42,frc624,2009
44,frc1218,2009
9,frc4127,2012
9,frc3247,2015
14,frc4585,2017
32,frc3986,2014
41,frc3280,2014
37,frc3504,2014
31,frc6420,2017
9,frc3206,2010
9,frc3709,2011
9,frc4118,2013
9,frc4794,2013
9,frc3305,2015
18,frc423,2009
17,frc772,2005
15,frc3723,2013
11,frc2085,2009
10,frc999,2010
9,frc4123,2012
24,frc4080,2013
26,frc240,2017
9,frc2204,2017
11,frc1444,2014
11,frc1157,2010
45,frc1512,2016
14,frc3082,2011
11,frc4401,2012
11,frc5199,2014
28,frc203,2013
28,frc2875,2016
11,frc1255,2007
9,frc2139,2007
10,frc2803,2013
10,frc1952,2015
11,frc5145,2016
24,frc3097,2010
26,frc5526,2016
12,frc1951,2006
12,frc4830,2013
29,frc2613,2015
13,frc2679,2008
20,frc422,2011
19,frc2757,2013
28,frc1626,2015
28,frc1736,2017
10,frc3984,2017
9,frc4612,2013
30,frc2500,2014
39,frc2451,2015
51,frc2823,2016
22,frc2022,2015
10,frc6069,2017
73,frc33,2008
13,frc5117,2015
13,frc3522,2015
49,frc3175,2015
26,frc3859,2013
9,frc1995,2008
27,frc481,2006
8,frc2985,2009
26,frc1699,2012
10,frc4349,2014
11,frc1799,2016
11,frc6156,2017
59,frc1126,2008
25,frc884,2011
9,frc2977,2012
28,frc2543,2008
36,frc1991,2013
10,frc2395,2009
28,frc4721,2015
40,frc1727,2010
17,frc2221,2010
10,frc3815,2011
56,frc178,2017
12,frc2848,2010
18,frc1778,2010
42,frc2062,2013
10,frc4260,2013
9,frc1026,2009
10,frc5929,2016
18,frc2643,2011
9,frc1539,2009
14,frc2882,2017
26,frc1577,2008
32,frc5752,2017
33,frc2177,2013
9,frc2584,2008
10,frc3303,2015
14,frc1756,2008
14,frc1378,2014
22,frc3164,2014
53,frc88,2008
11,frc569,2012
17,frc3396,2011
13,frc1803,2012
16,frc2169,2007
54,frc1024,2009
7,frc1257,2009
67,frc4063,2014
24,frc5532,2015
29,frc3617,2017
20,frc322,2007
9,frc3344,2013
15,frc1891,2006
71,frc247,2012
9,frc1689,2005
10,frc3866,2011
12,frc1482,2005
40,frc1672,2013
32,frc4139,2014
28,frc280,2012
23,frc4571,2015
11,frc1086,2006
10,frc2072,2008
23,frc319,2012
24,frc6119,2016
10,frc3295,2017
8,frc3297,2016
7,frc86,2007
13,frc1538,2005
9,frc1686,2005
10,frc5092,2016
12,frc2876,2013
31,frc1740,2014
47,frc2052,2014
24,frc4824,2016
27,frc589,2011
27,frc3694,2017
10,frc1386,2005
8,frc1312,2006
62,frc51,2010
13,frc3294,2011
7,frc2881,2009
20,frc6230,2017
25,frc1155,2010
9,frc1598,2010
7,frc2074,2009
46,frc5847,2017
27,frc1270,2006
19,frc5667,2016
24,frc4958,2017
25,frc3306,2010
10,frc4828,2015
31,frc3603,2015
20,frc2721,2014
9,frc2450,2010
8,frc4166,2016
13,frc6362,2017
13,frc3730,2012
9,frc4012,2014
77,frc1137,2016
9,frc619,2008
29,frc4619,2017
23,frc2935,2009
8,frc3407,2013
27,frc876,2013
84,frc1671,2016
24,frc3423,2010
62,frc968,2008
9,frc1413,2010
29,frc467,2009
10,frc3782,2012
9,frc2990,2009
10,frc4280,2014
53,frc5472,2016
10,frc2795,2012
47,frc4501,2015
18,frc166,2007
69,frc2867,2015
26,frc3242,2012
26,frc3950,2015
9,frc3313,2011
12,frc4402,2013
9,frc1513,2010
10,frc4115,2012
14,frc2247,2008
23,frc1743,2009
38,frc2046,2011
12,frc2373,2014
20,frc2040,2016
19,frc754,2005
24,frc2454,2008
9,frc1677,2006
53,frc461,2015
28,frc378,2008
47,frc2383,2014
24,frc5156,2014
42,frc5547,2015
9,frc848,2008
16,frc334,2017
9,frc1138D,2014
26,frc5136,2016
11,frc4952,2017
11,frc4018,2012
48,frc5915,2017
53,frc368,2015
11,frc4799,2016
71,frc3668,2015
9,frc3745,2011
46,frc668,2009
8,frc2547,2009
62,frc5046,2015
24,frc1723,2017
25,frc2377,2008
7,frc2542,2009
11,frc3580,2012
11,frc5099,2015
12,frc3330,2013
21,frc3766,2011
53,frc6325,2017
21,frc744,2006
32,frc395,2008
7,frc1635,2009
34,frc4495,2016
37,frc816,2008
15,frc5608,2015
49,frc4334,2016
10,frc4762,2014
20,frc4913,2014
73,frc948,2014
9,frc6149,2016
10,frc1713,2010
31,frc1511,2009
8,frc3121,2009
61,frc4384,2015
41,frc3176,2015
36,frc3974,2016
16,frc2187,2008
44,frc245,2010
31,frc1405,2013
24,frc1662,2017
27,frc847,2016
14,frc5584,2016
31,frc5015,2015
23,frc1944,2017
19,frc752,2010
24,frc4291,2016
8,frc6196,2016
21,frc224,2007
13,frc1619,2013
24,frc2443,2017
29,frc425,2009
24,frc5175,2015
11,frc4775,2013
22,frc1708,2017
24,frc2070,2014
8,frc1926,2007
24,frc1940,2016
23,frc766,2017
9,frc4578,2017
23,frc2122,2009
7,frc1827,2008
45,frc2586,2011
24,frc5697,2015
60,frc5048,2016
22,frc876,2007
23,frc3187,2014
26,frc6224,2016
25,frc1230,2006
10,frc3952,2013
58,frc1099,2015
8,frc3457,2017
10,frc4651,2014
10,frc2797,2010
29,frc1102,2010
78,frc302,2017
27,frc166,2013
10,frc2515,2014
9,frc2239,2010
18,frc313,2005
11,frc4856,2013
10,frc3591,2013
47,frc1002,2016
33,frc1980,2010
48,frc610,2015
54,frc2016,2011
24,frc3640,2011
17,frc981,2013
11,frc3648,2013
47,frc2834,2009
42,frc1250,2011
26,frc4627,2017
10,frc1999,2010
9,frc3264,2011
12,frc1678C,2016
9,frc2632,2011
8,frc613,2006
45,frc4613,2016
8,frc3292,2017
10,frc4107,2014
10,frc4292,2015
23,frc2080,2012
14,frc4007,2014
9,frc2134,2009
10,frc2861,2014
14,frc1864,2006
12,frc131,2010
10,frc4289,2012
29,frc369,2016
18,frc5903,2016
9,frc1590,2010
39,frc1816,2014
16,frc6199,2017
28,frc4183,2014
25,frc3789,2016
13,frc4749,2014
3,frc3385,2010
9,frc2539,2011
11,frc3374,2012
66,frc2056,2011
9,frc2973,2012
12,frc2459,2014
10,frc3871,2014
22,frc100,2017
56,frc6328,2017
13,frc4388,2013
11,frc1554,2008
16,frc1351,2005
16,frc94,2008
30,frc932,2012
24,frc2388,2014
64,frc254,2015
8,frc3793,2013
20,frc2789,2011
59,frc2910,2017
50,frc2512,2013
36,frc2075,2016
10,frc3018,2015
12,frc4224,2014
20,frc3318,2016
26,frc5672,2017
24,frc5017,2015
62,frc224,2013
12,frc4298,2014
26,frc617,2017
10,frc4506,2013
45,frc5104,2015
11,frc4412,2017
22,frc709,2008
10,frc3133,2014
13,frc3676,2013
9,frc1719,2011
27,frc1367,2012
36,frc4468,2015
15,frc269,2011
39,frc1251,2008
11,frc5349,2015
12,frc5335,2014
27,frc3756,2011
21,frc1255,2013
11,frc2965,2013
22,frc1739,2015
11,frc2672,2012
16,frc1876,2012
22,frc203,2007
7,frc1048,2007
10,frc1537,2011
10,frc2656,2011
39,frc271,2015
17,frc168,2005
9,frc1893,2011
14,frc3132,2014
27,frc3151,2015
18,frc4470,2017
12,frc1388,2006
14,frc5988,2017
10,frc5810,2017
10,frc2916,2010
27,frc2200,2014
20,frc3011,2013
33,frc3609,2015
10,frc4616,2013
10,frc4049,2012
13,frc4293,2016
14,frc1182,2012
17,frc2582,2016
9,frc2219,2008
11,frc3513,2012
21,frc2062,2007
26,frc453,2008
9,frc3561,2013
20,frc5148,2014
20,frc6431,2017
25,frc888,2009
28,frc1991,2007
22,frc61,2012
26,frc3946,2015
17,frc1340,2005
11,frc3316,2013
12,frc3975,2013
10,frc4676,2015
59,frc4391,2016
28,frc2676,2017
20,frc4547,2017
9,frc4457,2013
15,frc2599,2009
7,frc2930,2009
9,frc3524,2012
29,frc1661,2006
21,frc2583,2010
27,frc2928,2013
18,frc2817,2015
34,frc121,2016
30,frc2518,2011
53,frc6387,2017
12,frc1268,2006
10,frc1372,2011
10,frc922,2005
16,frc456,2005
30,frc1771,2010
13,frc2177,2007
57,frc93,2008
10,frc1655,2008
10,frc2349,2011
39,frc4539,2017
61,frc155,2014
10,frc698,2011
21,frc4086,2012
39,frc4653,2013
7,frc2859,2009
35,frc5039,2016
10,frc1245,2015
10,frc1159,2017
55,frc1937,2017
25,frc2638,2009
30,frc322,2013
9,frc3582,2013
27,frc842,2012
10,frc4277,2014
21,frc4187,2015
83,frc1918,2012
61,frc2169,2013
18,frc1817,2009
68,frc4967,2014
13,frc4673,2014
14,frc2498,2015
39,frc2457,2015
29,frc6419,2017
9,frc1248,2016
8,frc2579,2011
27,frc86,2013
13,frc2647,2008
43,frc2641,2012
66,frc494,2017
28,frc857,2005
11,frc1751,2008
11,frc2723,2016
8,frc1886,2006
19,frc34,2010
20,frc3373,2014
55,frc4373,2015
7,frc1672,2007
11,frc1737,2006
11,frc1143,2006
7,frc702,2009
9,frc1065B,2014
34,frc704,2014
19,frc4006,2016
22,frc231,2008
26,frc179,2008
26,frc3787,2014
10,frc4113,2013
28,frc2252,2012
24,frc5562,2017
33,frc1657,2015
12,frc4926,2014
23,frc710,2006
9,frc2009,2007
11,frc990,2005
16,frc904,2008
57,frc687,2014
10,frc2030,2007
37,frc772,2015
59,frc1610,2016
29,frc6584,2017
13,frc2658,2014
24,frc1124,2011
20,frc1744,2016
85,frc1318,2017
30,frc60,2014
20,frc501,2011
27,frc2486,2009
25,frc4738,2017
47,frc3258,2017
39,frc1138,2009
8,frc4345,2013
19,frc2709,2011
23,frc4504,2013
49,frc4639,2016
11,frc4185,2013
16,frc3010,2016
20,frc4,2012
19,frc288,2005
56,frc2619,2016
10,frc1984,2013
26,frc2472,2014
11,frc5035,2014
9,frc3417,2011
24,frc3623,2016
18,frc854,2007
11,frc4207,2014
8,frc4074,2016
42,frc2000,2012
34,frc639,2010
8,frc1674,2007
14,frc2129,2016
10,frc5634,2017
11,frc4017,2012
22,frc2996,2010
28,frc3410,2010
28,frc1612,2010
67,frc1501,2017
24,frc1306,2012
10,frc4239,2014
37,frc5554,2015
9,frc2525,2011
11,frc4823,2016
10,frc3054,2016
27,frc4546,2017
9,frc3244,2012
17,frc4572,2013
17,frc3320,2013
18,frc3081,2013
22,frc938,2014
8,frc1123,2008
22,frc1551,2011
11,frc1994,2014
10,frc4534,2015
27,frc5663,2017
24,frc265,2017
22,frc2704,2015
31,frc1432,2016
32,frc4361,2013
17,frc5296,2015
21,frc5025,2016
9,frc138,2006
11,frc3212,2010
70,frc2960,2015
9,frc4683,2013
12,frc1982,2013
32,frc571,2008
10,frc350,2007
12,frc5445,2015
24,frc1027,2016
6,frc1690,2010
22,frc3157,2017
30,frc3161,2012
84,frc225,2015
15,frc2489,2008
9,frc1855,2008
24,frc4694,2016
47,frc4982,2017
8,frc2490,2009
9,frc3626,2011
25,frc580,2017
8,frc2946,2009
10,frc2926,2011
37,frc3182,2013
30,frc5081,2014
28,frc5516,2017
10,frc1802,2010
21,frc3506,2012
10,frc810,2007
10,frc4065,2012
48,frc1717,2008
11,frc4556,2013
8,frc2245,2008
11,frc4603,2014
54,frc64,2005
12,frc5306,2014
42,frc365,2009
8,frc1862,2010
12,frc4357,2012
25,frc694,2014
34,frc1258,2014
10,frc2845,2009
13,frc1414,2011
84,frc27,2017
10,frc1034,2005
10,frc2975,2010
24,frc4026,2013
15,frc2449,2014
26,frc3707,2014
14,frc3559,2011
10,frc3798,2011
55,frc433,2013
22,frc128,2012
24,frc6102,2016
19,frc1038,2015
10,frc4165,2013
20,frc2603,2009
14,frc4096,2012
35,frc171,2008
44,frc217,2006
10,frc3147,2011
15,frc3223,2012
16,frc2445,2017
11,frc3606,2012
10,frc4406,2015
11,frc3861,2013
11,frc2149,2013
40,frc65,2006
10,frc4615,2016
10,frc1764,2007
28,frc2340,2015
33,frc2039,2017
24,frc5310,2015
27,frc1249,2013
33,frc537,2014
42,frc649,2016
13,frc2196,2007
15,frc2231,2007
29,frc4030,2015
73,frc4976,2017
24,frc3168,2016
60,frc1425,2017
16,frc1997,2017
24,frc4840,2013
10,frc686,2012
41,frc2846,2016
30,frc1801,2014
10,frc3029,2014
11,frc2918,2009
17,frc4852,2015
16,frc470,2006
9,frc1308,2011
37,frc1967,2014
21,frc647,2016
14,frc1815,2014
41,frc329,2014
17,frc3482,2012
11,frc2128,2010
16,frc2438,2010
36,frc1058,2013
29,frc5782,2015
60,frc3770,2017
31,frc1629,2008
10,frc2560,2011
11,frc3846,2013
23,frc236,2007
54,frc4395,2015
11,frc3111,2009
8,frc2031,2009
29,frc1458,2008
7,frc1916,2009
11,frc5333,2017
31,frc4103,2015
29,frc3414,2015
9,frc5753,2016
9,frc1644,2008
63,frc987,2008
24,frc3619,2015
8,frc2225,2007
22,frc907,2013
14,frc2130,2017
24,frc2224,2013
77,frc3467,2014
68,frc1986,2017
38,frc1379,2010
11,frc1760,2010
9,frc42,2007
60,frc172,2015
10,frc753,2005
35,frc2410,2016
17,frc1825,2014
46,frc525,2010
13,frc73,2014
22,frc5625,2015
28,frc1989,2017
8,frc973C,2011
10,frc2487,2011
88,frc910,2017
9,frc1633,2007
27,frc4237,2014
23,frc991,2011
8,frc4328,2016
24,frc3780,2017
24,frc449,2012
10,frc1648,2009
10,frc3765,2014
12,frc2370,2012
11,frc2462,2012
10,frc2135,2010
24,frc6100,2016
7,frc2346,2008
9,frc4707,2016
54,frc193,2013
88,frc3847,2014
46,frc4131,2017
9,frc1823,2012
19,frc5418,2015
24,frc4043,2014
16,frc2662,2017
24,frc4461,2017
18,frc180,2008
21,frc3059,2014
17,frc2895,2011
54,frc670,2015
10,frc4665,2015
26,frc858,2006
28,frc1671B,2014
10,frc871,2017
16,frc1927,2015
13,frc101,2010
8,frc540,2008
11,frc5678,2017
22,frc5118,2017
31,frc5239,2017
10,frc4397,2017
11,frc2264,2012
32,frc108,2008
26,frc3351,2011
18,frc3692,2016
28,frc4377,2015
10,frc5570,2015
9,frc3382,2016
25,frc1764,2013
52,frc188,2012
20,frc653,2014
9,frc2930,2010
10,frc6155,2016
20,frc5428,2015
20,frc3843,2016
7,frc2894,2009
10,frc3390,2011
12,frc3055,2013
34,frc5234,2016
11,frc1613,2005
24,frc4035,2013
60,frc58,2015
50,frc620,2017
11,frc2593,2009
12,frc4774,2014
40,frc522,2006
18,frc59,2006
9,frc1877,2012
18,frc3017,2011
53,frc1772,2013
12,frc388,2013
15,frc843,2006
36,frc1108,2016
14,frc3297,2011
39,frc120,2014
19,frc5515,2015
43,frc1685,2007
24,frc4151,2014
13,frc2231,2013
9,frc1148,2012
25,frc3211,2014
5,frc2383B,2014
14,frc806,2008
24,frc5173,2016
9,frc2479,2008
36,frc157,2013
21,frc1033,2015
24,frc1745,2017
10,frc5754,2017
22,frc236,2013
62,frc4587,2015
22,frc547,2005
25,frc4203,2014
30,frc2471,2010
33,frc1515,2014
11,frc4919,2014
24,frc1370,2014
19,frc2265,2015
24,frc5694,2016
8,frc3294,2016
21,frc5283,2014
12,frc2201,2007
24,frc2228,2008
11,frc4045,2013
24,frc2785,2014
24,frc4570,2014
29,frc771,2016
23,frc1058,2007
28,frc1592,2016
9,frc2916,2009
44,frc692,2014
31,frc3883,2014
30,frc11,2005
8,frc2285,2011
31,frc3534,2015
53,frc111,2015
11,frc4723,2014
9,frc1922,2008
9,frc3024,2012
25,frc1572,2007
51,frc330,2011
28,frc2611,2012
41,frc696,2015
22,frc589,2016
27,frc4375,2014
12,frc2669,2009
80,frc422,2016
20,frc222,2008
45,frc303,2011
25,frc45,2007
23,frc34,2009
10,frc3488,2013
18,frc375,2007
8,frc2528,2008
10,frc2929,2011
15,frc2702,2015
21,frc4936,2016
50,frc5498,2015
10,frc2420,2008
84,frc3641,2013
20,frc2225,2013
24,frc6568,2017
28,frc835,2012
11,frc5994,2017
9,frc434,2007
24,frc6005,2016
24,frc6079,2016
39,frc1070,2006
24,frc1254,2014
10,frc2875,2011
37,frc1817,2010
45,frc176,2013
12,frc545,2011
9,frc1682,2008
17,frc3627,2013
72,frc5710,2015
11,frc352,2007
9,frc1653,2006
129,frc195,2016
40,frc3999,2016
24,frc5821,2017
11,frc5443,2017
17,frc1276,2006
14,frc2063,2009
26,frc900,2012
13,frc4550,2014
24,frc894,2015
87,frc2168,2016
8,frc3053,2011
9,frc2205,2013
7,frc701,2005
11,frc1863,2007
24,frc1302,2008
20,frc702,2010
9,frc2823,2011
23,frc4655,2015
21,frc4335,2017
8,frc380,2010
12,frc2345,2011
10,frc5699,2015
26,frc4827,2015
11,frc6127,2017
32,frc4819,2016
10,frc1633,2013
60,frc1771,2009
29,frc3853,2016
18,frc3815,2016
19,frc1946,2008
36,frc3284,2012
28,frc1450,2013
20,frc3366,2014
29,frc5603,2016
25,frc292,2006
14,frc4590,2013
26,frc5201,2014
11,frc3998,2013
11,frc1293,2009
11,frc3202,2013
8,frc4663,2016
10,frc884,2016
13,frc87,2005
12,frc4155,2012
32,frc1908,2016
7,frc3102,2009
10,frc1799,2011
8,frc1798,2008
10,frc2915,2011
20,frc4549,2014
13,frc2240,2014
54,frc3930,2016
28,frc4398,2015
10,frc256,2010
24,frc509,2013
24,frc5555,2017
10,frc3413,2010
42,frc967,2015
14,frc4320,2014
11,frc1288,2008
9,frc2332,2008
21,frc2638,2010
37,frc2643,2016
9,frc2859,2010
18,frc852,2017
13,frc2455,2009
12,frc3684,2013
30,frc2375,2014
9,frc1548,2007
47,frc1507,2009
20,frc4057,2012
10,frc2480,2014
11,frc5564,2017
24,frc3336,2017
12,frc2153,2011
41,frc1510,2011
14,frc2842,2010
8,frc5327,2016
11,frc3800,2017
25,frc1279,2005
11,frc3791,2012
64,frc2834,2010
20,frc3516,2015
40,frc5203,2015
24,frc3632,2015
8,frc3745,2016
10,frc5806,2016
36,frc3710,2015
12,frc4140,2015
14,frc1980,2009
10,frc6072,2017
24,frc6012,2017
26,frc5129,2015
43,frc3219,2015
9,frc1047,2008
18,frc2001,2012
9,frc1541,2014
9,frc2239,2009
11,frc1573,2012
8,frc4191,2013
29,frc533,2013
9,frc1303,2009
25,frc3507,2012
8,frc759,2012
10,frc5552,2016
65,frc5279,2017
8,frc5800,2017
13,frc383,2014
22,frc204,2007
11,frc1001,2008
23,frc131,2009
18,frc1915,2012
10,frc3679,2014
10,frc2134,2010
6,frc3934,2011
10,frc3034,2015
27,frc6404,2017
14,frc81,2006
10,frc3491,2011
26,frc5238,2014
80,frc228,2016
24,frc1721,2015
26,frc3218,2016
14,frc3124,2010
29,frc5834,2017
15,frc564,2014
9,frc96,2005
36,frc4607,2013
55,frc2338,2014
12,frc1999,2009
10,frc3611,2012
16,frc2068,2012
8,frc213,2007
15,frc1307,2008
12,frc3554,2014
53,frc2122,2010
35,frc207,2008
11,frc854,2013
46,frc1323,2017
57,frc4004,2017
8,frc2424,2017
12,frc615,2017
16,frc9073,2016
12,frc1984,2007
24,frc4389,2013
8,frc5276,2017
48,frc3535,2017
12,frc4264,2017
10,frc3023,2014
29,frc2246,2015
12,frc2151,2014
43,frc2073,2017
10,frc3511,2012
19,frc3750,2011
11,frc2115,2012
10,frc5153,2015
54,frc67,2007
25,frc555,2009
7,frc1135,2005
9,frc1327,2006
25,frc1102,2009
8,frc2534,2008
10,frc4732,2015
24,frc5347,2014
43,frc293,2015
9,frc2797,2009
9,frc4986,2015
39,frc1280,2006
57,frc714,2013
8,frc638,2006
39,frc1098,2011
7,frc2526,2009
9,frc5022,2015
25,frc339,2011
8,frc2404,2013
27,frc1421,2015
14,frc847,2011
21,frc399,2005
11,frc2773,2009
20,frc3130,2012
20,frc1336,2005
34,frc191,2012
23,frc1641,2005
12,frc1163,2006
11,frc3263,2011
10,frc4182,2013
36,frc3991,2017
53,frc1503,2013
8,frc1600,2006
26,frc1547,2017
9,frc1377,2008
11,frc3510,2012
28,frc6033,2017
11,frc3062,2017
18,frc4255,2012
9,frc3036,2012
8,frc4748,2013
19,frc1208,2017
25,frc6237,2017
12,frc443,2011
34,frc5422,2015
27,frc519,2005
27,frc1,2014
30,frc1710,2014
43,frc79,2006
16,frc1533,2006
14,frc3865,2011
24,frc3205,2014
12,frc5094,2014
