matches,team,year
9,frc2966,2012
27,frc1124,2017
40,frc5076,2014
37,frc192,2010
29,frc5067,2016
10,frc1761,2007
57,frc3663,2014
10,frc2387,2009
24,frc6723,2017
37,frc157,2006
12,frc4519,2015
11,frc3417,2017
20,frc1758,2009
10,frc1307,2012
23,frc53,2014
9,frc4790,2013
8,frc2890,2013
9,frc405,2010
21,frc6652,2017
34,frc4010,2017
30,frc6067,2016
19,frc1551,2017
38,frc191,2008
11,frc2976,2012
35,frc3061,2014
10,frc2115,2008
10,frc59,2013
10,frc2165,2010
9,frc4005,2013
8,frc2525,2017
16,frc1772,2006
8,frc388,2006
18,frc1501,2011
25,frc2412,2013
26,frc5695,2017
10,frc5243,2014
61,frc3602,2015
14,frc3379,2013
24,frc5181,2014
22,frc6038,2017
12,frc2130,2011
22,frc343,2014
27,frc2035,2009
63,frc222,2012
12,frc2528,2012
40,frc1735,2013
12,frc2444,2015
12,frc1277,2013
9,frc1784,2013
10,frc2382,2011
13,frc1323B,2016
9,frc1290,2009
8,frc1793,2007
39,frc79,2013
22,frc1533,2013
10,frc5186,2015
10,frc2192,2011
43,frc1302,2012
7,frc1571,2008
43,frc1986,2011
11,frc4152,2014
10,frc1525,2010
67,frc1503,2006
13,frc1600,2013
10,frc5325,2014
41,frc5484,2015
26,frc991,2017
11,frc3780,2011
10,frc1274,2013
24,frc1466,2005
10,frc2769,2011
11,frc1798,2012
46,frc910,2011
9,frc1643,2009
10,frc2487,2017
39,frc578,2016
12,frc1670,2005
15,frc971B,2013
14,frc1946,2012
13,frc1989,2011
27,frc3361,2016
46,frc3971,2016
21,frc1529,2009
7,frc122,2005
24,frc5919,2017
48,frc5162,2015
17,frc1288,2012
38,frc488,2009
11,frc1634,2007
11,frc2476,2009
10,frc3788,2013
48,frc3147,2017
14,frc2445,2011
11,frc540,2012
9,frc1823,2008
8,frc4299,2016
9,frc5918,2017
55,frc180,2012
10,frc81,2013
20,frc2039,2011
11,frc4105,2013
45,frc1647,2014
14,frc533,2006
8,frc5595,2017
10,frc3630,2013
26,frc108,2012
9,frc2264,2008
30,frc219,2014
33,frc188,2008
8,frc1871,2006
9,frc4238,2015
6,frc469,2004
10,frc1997,2011
9,frc3748,2012
8,frc806,2012
56,frc703,2015
11,frc3944,2012
45,frc1425,2011
10,frc1877,2008
15,frc714,2006
51,frc3737,2016
9,frc3687,2013
20,frc1922,2012
72,frc435,2016
11,frc2560,2017
28,frc3770,2011
12,frc1330,2005
8,frc1246,2005
10,frc5935,2016
57,frc1114,2007
8,frc4859,2013
20,frc1308,2017
32,frc2228,2012
9,frc3633,2012
9,frc3366,2010
14,frc253,2005
24,frc3688,2012
9,frc3210,2012
10,frc2865,2011
16,frc2240,2010
43,frc4269,2014
11,frc1750,2016
8,frc2673,2008
35,frc3137,2013
47,frc78,2011
11,frc3749,2014
12,frc2191,2007
24,frc1660,2015
9,frc996,2007
51,frc1895,2016
10,frc3170,2010
33,frc256,2014
11,frc4744,2015
11,frc1658,2012
9,frc2480,2010
14,frc3289,2016
26,frc3568,2011
40,frc4122,2017
12,frc84,2010
10,frc3839,2014
7,frc2919,2009
11,frc4296,2012
10,frc4657,2017
11,frc5146,2017
27,frc395,2006
10,frc744,2008
20,frc816,2006
25,frc2505,2009
44,frc4522,2016
70,frc4678,2017
25,frc1646,2007
9,frc6436,2017
31,frc1254,2010
30,frc5709,2016
32,frc6002,2016
10,frc3822,2011
51,frc868,2012
11,frc2558,2008
9,frc1752,2007
11,frc3003,2009
28,frc4048,2017
24,frc611,2016
26,frc2811,2013
38,frc2180,2015
48,frc2102,2016
34,frc829,2009
11,frc3275,2017
11,frc2503,2015
25,frc3550,2015
9,frc3834,2015
9,frc2352,2015
24,frc2185,2016
8,frc1748,2013
3,frc3211,2010
12,frc9,2005
30,frc378,2006
20,frc3158,2012
82,frc125,2013
22,frc848,2006
