District,State Country,Location,Team #,Related team #'s,Most Recent Yr,Rookie Year,Lat/Lon,Accurate Coord,school name,Name,Notes,
PNW,MT,"Simms, MT ",1696,,2013,2005,"47.491471,-111.928174",1,,NASA/jcpenney & Sun River Valley Science Club,,
#N/A,CA,"Long Beach, CA ",1697,,2005,2005,"33.785425,-118.180447",0,,American Institute of Aeronautics and Astronautics & Gyros,,
,NY,"New York, NY ",1698,,2009,2005,"40.818204,-73.949643",1,,City College of New York (CUNY)/L. Ackman & A. Phillip Randolph HS,,
NE,CT,"Colchester, CT ",1699,,2016,2005,"41.574562,-72.302838",1,,Dominion Nuclear Connecticut Inc./United Technologies/Colchester Lions Club & Bacon Academy ,,
,CA,"Palo Alto, CA ",1700,,2016,2005,"37.439394,-122.151302",1,,Google / Qualcomm / Brin Wojcicki Foundation / Roboterra / BAE Systems / IDEO / SolidWorks / OnShape / Il Fornaio & Castilleja School ,All female team,
MI,MI,"Detroit, MI ",1701,,2016,2005,"42.433152,-83.154227",1,,SlipNOT Metal Safety Flooring/University of Detroit Mercy/DeRoy Testamentary Foundation/DTE Energy Foundation/W. K. Kellogg Foundation/Booz Allen Hamilton/Ford Motor Company & University of Detroit Jesuit High School ,,
,CA,"Ingelwood, CA ",1702,,2011,2005,"33.959066,-118.356245",1,,Boeing/BAE Systems/UCLA-MESA & CITY HONORS HIGH SCHOOL,,
,NV,"Las Vegas, NV ",1703,,2013,2005,"36.184822,-115.123083",1,,The Boeing Company/Christine Schulze Foundation/PTC/jcpenney & Rancho High School & Aviation Academy,,
,CA,"Fontana, CA ",1704,,2008,2005,"34.081968,-117.453459",1,,Steelers: Fontana High School & San Bernardino Valley College,,
#N/A,CO,"Denver, CO ",1705,,2005,2005,"39.759941,-105.020863",1,,North High School,,
,MO,"Wentzville, MO ",1706,,2016,2005,"38.816154,-90.867212",1,,"The Boeing Company / Planet Tool / Henry Jubel Foundation(Spartan Light Metals) / NVIDIA & Holt, Timberland and Liberty High Schools in the Wentzville School District ",,
#N/A,PA,"Pittsburgh, PA ",1707,,2006,2005,"40.526114,-80.025766",1,,Heinz Foundation & North Hills Senior High,,
PA-nonMAR,PA,"Mckeesport, PA ",1708,,2016,2005,"40.344221,-79.83146",1,,Cygnus Manufacturing Co (CMC) / Duquesne Light Co. / WALMART / The Heinz Endowments / 21st Century Community Learning Grant / TCFPE - The Future Is Mine. / ChemImage / Society of Women Engineers / RC Walters / Bettis Atomic Power Laboratory / The Embroidery People / Busy Beaver / Panera Bread / Turners Iced Tea / Masonic Lodge #582 & Mckeesport Area Tech Ctr ,,
,KS,"Olathe, KS ",1710,,2016,2006,"38.92917,-94.829761",1,,Clay Blair Family Foundation / Ewing Kauffman Foundation / US Engineering / Black & Veatch / EW Plumbing / Society of Women Engineers-Exxon Mobil Corporation / Farmers Insurance / Olathe Public Schools & Olathe Northwest High School ,,
MI,MI,"Traverse City, MI ",1711,1896,2016,2007,"44.766977,-85.589963",1,,"American Proficiency Institute / State of Michigan / The Townsend Family / Experience Early Learning / Grand Traverse Radiologists, PC / TriMet Industries / mBank / Robert Fenton-Financial Advisor @ Raymond James / Northwest Michigan Industrial Association / BORIDE Engineered Abrasives / Buffalo Wild Wings / The Parlor & Central High School ",,
MAR,PA,"Ardmore, PA ",1712,,2016,2006,"40.008996,-75.279264",1,,Lockheed Martin/National Defense Education Program/Google & Lower Merion Hs ,,
,NY,"Cape Vincent / Clayton, NY ",1713,,2010,2006,"44.235393,-76.079836",1,,New York Air Brake/Don's Prop Shop & Thousand Islands High School,,
,WI,"Milwaukee, WI ",1714,,2016,2006,"42.979868,-87.87649",1,,Hollow Steel / Ladish Foundation / Siemens / Rockwell Automation / Nucor / Symbiont / Vilter / Boyle Fredrickson / MSOE / Oak Creek Lions Club / Oak Creek Fire Department / West Allis Fire Department / Milwaukee Admirals / American Acrylics USA LLC & St Thomas More High School ,,
#N/A,SC,"Moore, SC ",1715,,2006,2006,"34.934075,-82.127311",1,,NASA/SEW Eurodrive & James F. Byrnes High School & Paul M. Dorman High School & Woodruff High School & R.D. Anderson Applied Technology Center,,
,WI,"Ashwaubenon, WI ",1716,,2016,2006,"44.440295,-88.042253",1,,PDQ/Paper Converting Machine Company & De Pere High ,,
,CA,"Goleta, CA ",1717,,2015,2006,"34.438569,-119.87687",1,,"Raytheon/Mosher Foundation/Outhwaite Foundation/Valley Precision Products/lynda.com/P&G Alumni Association/Neal Feay Company/Edison International/Rincon Engineering/Amgen Foundation/ATK Space/Tecolote Research, Inc./Allergan Foundation/Downey's/Lockheed Martin/Enerpro, Inc./Toyon Research Corporation/FLIR/Montecito Bank & Trust/Rincon Technology/Las Cumbres Observatory Global Telescope/Citrix Online/Impulse Advanced Communications/AFAR Communications Inc./Silvergreens/City of Goleta/Santa Barbara County ROP & DOS PUEBLOS SENIOR HIGH ",The New Cool - folded 2016 in favor of another STEAM program,
MI,MI,"Armada, MI ",1718,,2016,2006,"42.846363,-82.882276",1,,"FCA Foundation / Master Pneumatic, Inc / Prototech Laser / Richmond Rotary / NuStep, Inc / Ford Motor Company / Detroit And Downriver Area Robotics Association / MDS Fastening Systems / Booz Allen Hamilton / National Instruments / SMART I.T. Services / The Armada Fair / The Schember Family / Troy Laser & Fabricating, LLC & Macomb Academy of Arts & Sciences ",,
,MD,"Brooklandville, MD ",1719,,2016,2006,"39.392445,-76.675987",1,,"Waterjet of Indiana / Lion Brothers Corporation / Maryland Space Business Round Table / Rev Robotics / TEDCF, Inc / Maryland Portable Concrete / Harry W. Kaplan MD PA & Park School of Baltimore ",,
IN,IN,"Muncie, IN ",1720,,2016,2006,"40.453101,-85.511264",1,,Meridian Health Services / E-ON / Littler Diecast / Ball Brothers Foundation & Home School ,,
NE,NH,"Concord, NH ",1721,,2016,2006,"43.200461,-71.550945",1,,Atrium / ingenuity / Spain / Quality Cash / Cimos South End Deli / Granite State Naturals / Terrance Macaig / Margo Plumlee & Concord High School ,,
#N/A,CA,"La Canada, CA ",1722,,2007,2006,"34.198715,-118.183997",1,,"ALLFAST Fastening Systems, Inc. / Nelson Nameplate / Kinohi Institute & Flintridge Preparatory School",,
,MO,"Independence, MO ",1723,,2016,2006,"39.059754,-94.412255",1,,Honeywell/A & E Custom Manufacturing/KC STEM Alliance & William Chrisman High & Truman High & Van Horn High ,,
,UT,"Pleasant View, UT",1724,1906,2009,2007,"41.322581,-111.985316",1,,Weber High School,,
#N/A,MA,"Worcester, MA ",1725,1685,2006,2006,"42.277309,-71.779578",1,,Intel/National Grid & Worcester Public Schools,,
,AZ,"Sierra Vista, AZ ",1726,,2016,2006,"31.571,-110.236709",1,,Northrop Grumman / Cochise Robotics Association / Arizona's G & T / Sierra Vista Womens Club / Sierra Vista Public Schools / SAIC & Buena High School ,,
,MD,"Timonium, MD ",1727,,2011,2006,"39.460064,-76.610947",1,,NASA Goddard Space Flight Center (GSFC)/AAI/Raytheon/Baltimore Area Alliance & Dulaney High School,,
,NY,"Rochester, NY ",1728,1567,2009,2007,"43.158392,-77.564228",1,,"Bausch & Lomb & School Without Walls High School, Rochester City School District",,
NE,NH,"Peterborough, NH ",1729,"1749,1824",2016,2009,"42.909092,-72.063139",1,,"NASA / Raytheon / KMS Foundation / Wildes General Contracting / Dassault Systemes Solidworks / Real Power, Inc & Monadnock 4H Robotics & Mascenic Regional High School ",4H,
,MO,"Lees Summit, MO ",1730,,2016,2006,"38.905721,-94.365686",1,,R&D Leverage / Cerner / Black & Veatch / Fike / Sioux Chief / Kastle Grinding / Hallmark Cards / Sprint / 5 Star Embroidery / KC STEM Alliance / Pickett Family & Lee's Summit Sr. High ,,
,VA,"Marshall, VA ",1731,,2016,2006,"38.772644,-77.904465",1,,TE Connectivity Foundation / Ben and Debbie Gale Foundation / Leidos / Allied Associates / Technology Management Associates / Mathnasium & Fresta Valley Christian School ,,
,WI,"Milwaukee, WI ",1732,1220,2016,2006,"43.038078,-87.956157",1,,Rockwell Automation / Skipper LLC / PIC Wire and Cable / Big Systems / Johnson Controls / Whitman and Associates / Boyle Fredrickson LLP / Mason Wells / KEI Landscaping / Milwaukee School of Engineering / Ivec Systems / Nabco / Anthologie / Keller Industrial / Quarrels and Brady / Quarrels and Brady / Catholic Financial Life / HUSCO & Divine Savior Holy Angels High School & Marquette University High School ,,
NE,MA,"Worcester, MA ",1733,,2008,2006,"42.262445,-71.768475",1,,EMC/Quinsigamond Community College & Worcester North High School,,
#N/A,FL,"Fort Walton Beach, FL ",1734,,2007,2006,"30.451103,-86.619523",1,,University of West Florida/NASA & Choctawhatchee High School,,
NE,MA,"Worcester, MA ",1735,,2016,2006,"42.29829,-71.789555",1,,WPI/Boston Scientific & Burncoat Senior High ,,
,IL,"Peoria, IL ",1736,,2016,2006,"40.703484,-89.588474",1,,Caterpillar Inc / CGN Global / PTC / OSF Saint Francis Medical Center / Illinois Neurological Institute / Peoria Police Benevolent Association / Homeaway Homes & Peoria Area High Schools ,,
,MO,"Excelsior Springs, MO ",1737,,2016,2006,"39.342623,-94.225253",1,,Gregg Williams Foundation / KC Machine / Kansas City STEM Alliance / FIRST & Excelsior Springs High ,,
,IL,"Chicago, IL ",1739,,2016,2006,"41.879535,-87.624333",0,,Motorola Solutions Foundation / Washington Family Foundation / SalesForce / Google / National Instruments / Ford City Mall & Chicago Knights Robotics ,,
NE,CT,"Ledyard, CT ",1740,,2016,2006,"41.438062,-71.996219",1,,Dominion Millstone Power Station & Ledyard High School ,,
IN,IN,"Greenwood, IN ",1741,,2016,2006,"39.576303,-86.196938",1,,Rolls-Royce/Endress+Hauser/Indiana Department of Education/Center Grove Education Foundation/Red Alert Robotics Parent Organization & Center Grove High School ,,
,OK,"Norman, OK ",1742,,2016,2006,"35.335555,-97.547647",1,,Boeing /OU College of Engineering & Moore Norman Technology Center ,,
PA-nonMAR,PA,"Pittsburgh, PA ",1743,,2016,2006,"40.442627,-79.999192",1,,Caterpillar Inc/The Heinz Endowments/Comcast/Autodesk/National Instruments (LabVIEW) & City Chs ,,
,FL,"Naples, FL ",1744,,2016,2006,"26.13463,-81.728237",1,,Seacrest Country Day School ,,
,TX,"Richardson, TX ",1745,437,2016,2006,"32.973739,-96.767803",1,,The Boeing Company / Dell / Texas Workforce Commission / Southwest Airlines / Texas Instruments / Richardson Independent School District & Pearce H S ,,
GA,GA,"Cumming, GA ",1746,,2016,2006,"34.209555,-84.211095",1,,"Automation Direct / Forsyth Alliance / J&D Lovelace Trust / Press Metal North America / Metcam, Inc. / itslearning / Marco & Forsyth Central High School ",,
IN,IN,"West Lafayette, IN ",1747,,2016,2006,"40.499369,-86.914977",1,,Purdue FIRST Programs/Caterpillar/Unity Surgical Center/Lafayette Electronic Supply & William Henry Harrison High Sch ,,
,MD,"Baltimore, MD",1748,,2014,2006,"39.295133,-76.598817",1,,2014 FRC Hardship Grant / NASA / Booz-Allen Hamilton / ARL / Northrop Grumman / Johns Hopkins Pathology & Dunbar and Patterson High Schools,,
NE,NH,"Peterborough, NH",1749,"1729,1824",2010,2010,"42.884266,-71.953411",0,,Creating Positive Change/BAE Systems/UNH Cooperative Extension/JCPenney & Wapack Youth Robotics 4-H Club,,
,OK,"Stillwater, OK ",1750,,2016,2006,"36.130511,-97.069455",0,,Dr Charlotte Fore / DOD STEM / 2016 FRC® Hardship Grant / Billy and Tona Huggins / Circuit Assembly & Design & Payne County Christian Home Educators ,,
,NY,"Port Jefferson Station, NY ",1751,,2016,2006,"40.9065925,-73.0374921",1,,Comsewogue High School ,,
,MO,"Kansas City, MO ",1752,,2008,2006,"39.17943,-94.509504",1,,Ewing Marion Kauffman Foundation / Wattmaster Controls Inc / Clayco Electric / WHS Booster Club & Winnetonka HIgh School,,
#N/A,WI,"Watertown, WI ",1753,,2006,2006,"43.204675,-88.74095",1,,NASA & Watertown High School Robotics,,
NE,MA,"South Boston, MA ",1754,1779,2013,2010,"42.306571,-71.115241",1,,National Grid / BJ's Wholesale Club / Boston University & Excel High School,new in 2010,
,IL,"Chicago, IL ",1755,,2010,2006,"41.705556,-87.655833",1,,Boeing Corp./JCPenney & Percy L. Julian High School,,
,IL,"Peoria, IL ",1756,,2016,2006,"40.679603,-89.63475",1,,Caterpillar Inc & Limestone Community High School ,,
NE,MA,"Westwood, MA ",1757,,2016,2006,"42.217213,-71.216409",1,,Westwood Public Schools / PTC / Dedham Savings Bank / Wegmans Food Markets / Mass Machine Works / Roche Brothers & Westwood High ,,
,SC,"Florence, SC ",1758,,2016,2006,"34.219326,-79.730873",1,,Florence School District One/GE Volunteers/Toledo Carolina Inc/Otis Elevator Company & Florence Career Center ,,
,CA,"El Segundo, CA ",1759,,2016,2006,"33.924205,-118.415928",1,,Xerox Corporation/El Segundo Ed! Foundation & EL SEGUNDO HIGH ,,
IN,IN,"Kokomo, IN ",1760,,2015,2006,"40.434244,-86.054577",1,,Delphi / Andymark / The Pendergast Family / Dr Richard Lasbury DDS & TAYLOR HIGH SCHOOL ,,
NE,MA,"Lynn, MA ",1761,,2016,2006,"42.459538,-70.954885",1,,GE Volunteers & Lynn Voc Tech Institute ,,
,MO,"Kansas City, MO ",1763,,2016,2006,"39.039428,-94.565293",1,,"MRI Global/KC STEM Alliance/UMKC School of Computing and Engineering/Google Fiber/KCPS/Ewing Marion Kauffman Foundation/Honeywell/US Engineering/Mark One Electric Company, Inc/JE Dunn Construction/BNIM/NNSA & Paseo Acad. of Performing Arts ",,
,MO,"Liberty, MO ",1764,,2016,2006,"39.241078,-94.448991",1,,Liberty Robotics Foundation / Ford Motor Company / Gary Crossley Ford / SMG Corporation / Ewing Marion Kauffman Foundation / Laird Plastics / Honeywell / KC STEM Alliance / Baaders-Linco / Cerner & Liberty High & Liberty North High School ,,
,NY,"Cheektowaga, NY ",1765,,2016,2006,"42.907907,-78.781996",1,,Ferguson Electric & Harkness Career & Technical Center ,,
IN,IN,"Columbus, IN ",1766,,2011,2006,"39.222974,-85.909677",1,,Columbus Area Career Connection High School,,
#N/A,MI,"Howell, MI ",1767,,2006,2006,"42.586936,-83.881186",1,,CSK/ABB & Kensington Woods High School,,
NE,MA,"Bolton, MA ",1768,,2016,2006,"42.449586,-71.633413",1,,SynQor / Bose & Nashoba Regional ,,
,KS,"Kansas City, KS ",1769,,2016,2006,"39.06235,-94.656358",1,,"Garmin International, Inc. / KC STEM Alliance / KCK School District / Kansas Speedway / University of Kansas Gear Up & J C Harmon High ",,
#N/A,IL,"Chicago, IL ",1770,,2007,2006,"41.745693,-87.634983",1,,Simeon Career Academy,,
GA,GA,"Suwanee, GA ",1771,4509,2016,2006,"34.086295,-84.070218",1,,Meggitt Training Systems / Gwinnett County Public Schools / LaserCraft Technologies Inc. / Nordson Corporation / WIT & North Gwinnett High School ,,
,Brazil,"Gravatai, RS, Brazil",1772,,2016,2006,"-29.935724,-51.016591",0,,General Motors Brazil/Novelis inc./General Motors/Prefeitura de Gravatai/FITESA/CARBE & AIDTEC ,,
,TX,"Pittsburg, TX",1774,,2013,2012,"33.001557,-94.971671",1,,jcpenney/Texas Work Force Commission & Pittsburg High School,,
,MO,"Kansas City, MO ",1775,,2016,2006,"39.087184,-94.560012",1,,Hallmark Cards/KC STEM Alliance/U.S. Engineering & Lincoln College Prep. ,,
,MO,"Kansas City, MO ",1776,,2009,2006,"39.058181,-94.570874",1,,Sprint Corporation/Deloitte Services LP/The Lazarus Group & DeLaSalle Education Center,,
,KS,"Overland Park, KS ",1777,,2016,2006,"38.976694,-94.688768",1,,"RTE Technologies, Inc. & Shawnee Mission West High ",,
PNW,WA,"Mountlake Terrace, WA ",1778,,2016,2006,"47.802115,-122.290084",1,,The Boeing Company / OSPI / SPEEA / Google / Philips Healthcare Corporation & Mountlake Terrace High School ,,
NE,MA,"South Boston, MA ",1779,1754,2009,2006,"42.306571,-71.115241",1,,Excel High School,,
,NV,"Henderson, NV ",1780,,2013,2006,"36.033513,-114.961183",1,,Olin Corporation / TRONOX / Broadbent & Associates & Basic High School,,
,IL,"Chicago, IL ",1781,,2016,2006,"41.782449,-87.671566",1,,"Baxter, Inc./Shure Inc./PTC & Lindblom Math & Science Acad Hs ",,
,MO,"RAYTOWN, MO ",1782,,2012,2006,"39.01284,-94.46032",1,,"Ewing Marion Kauffman Foundation/KCP&L,/HONEYWELL/TIME WARNER CABLE/Vector Machining and Engineering & RAYTOWN QUALITY SCHOOLS & RAYTOWN HIGH",,
MI,MI,"West Branch, MI ",1783,,2010,2006,"44.306653,-84.127357",1,,"North Central Michigan Community Foundation / Sandvik, Inc. / Wangler's Welding / Kiwanis Club of West Branch / Phil Clancy Scholarship / Optimist Club of West Branch / Spartan Stores / Bunting Sand & Gravel / Hart Pontiac / West Branch Machine, LLC / Northland Area FCU / Eddie K Electric & Ogemaw Heights High School",,
NE,CT,"Litchfield, CT ",1784,,2013,2006,"41.739841,-73.204951",1,,UTCHQ / Protedyne / SSyD / Litchfield Education Foundation / Litchfield Lions & Litchfield High School & Wamogo High School,,
,MO,"Blue Springs, MO ",1785,,2016,2006,"39.026198,-94.287934",1,,"Blue Springs School District / Waddell & Reed / Lunar Bowl / Blue Ridge Bank & Trust / Double C Industries, Inc / Blue Ridge Physical Therapy / The Chocolate Spa / Up A Tree / Independence Classics & Freshman Ctr. - G. Baker Bldg. & Blue Springs High & Blue Springs South High ",,
NE,NH,"Dublin, NH",1786,,2014,2014,"42.909092,-72.063139",1,,Dublin School,,
,OH,"Pepper Pike, OH ",1787,,2016,2006,"41.457479,-81.453787",1,,Orange City Schools / Rockwell Automation / GED Integrated Solutions / Belcan Corporation / RAF Automation & Orange High School ,,
GA,GA,"Atlanta, GA ",1788,,2011,2006,"33.740546,-84.361829",1,,GE Volunteers & Maynard Jackson High School,,
,CO,"Kremmling, CO ",1789,,2013,2006,"40.060452,-106.380626",1,,Climax Molybdenum/Mountain Parks Concrete & West Grand High School Robotics,,
MAR,NJ,"Clayton, NJ ",1791,,2016,2006,"39.663708,-75.083807",1,,National Auto Sales/Morehouse Engineering/ADP/Nick's Pizzaria/Godwin Pumps/First Robotics-anonymous sponsor/jcpenney & Clayton High ,,
,VA,"Norfolk, VA ",1793,,2016,2006,"36.901441,-76.239456",1,,NDEP/BAE Systems Norfolk Ship Repair/American Society of Naval Engineers/Booz Allen Hamilton/National Defense Education Program & Norview High ,,
#N/A,MO,"St. Louis, MO",1794,,2006,2006,"38.717272,-90.283543",1,,Central Pattern Co/NASA/Rolla Alumni of Beta Sigma Psi & Lutheran High North,,
GA,GA,"Atlanta, GA ",1795,,2016,2006,"33.720122,-84.38628",1,,GE Volunteers/BC LabTech/APS Research and Evaluation & School of Technology at Carver ,,
,NY,"Long Island City, NY ",1796,,2016,2006,"40.742218,-73.928377",1,,Bloomberg / ConEdison / Pershing Square Foundation / The BnG Foundation & Queens Vocational and Technical High School ,,
,AZ,"Tucson, AZ ",1798,,2012,2006,"32.273765,-110.995118",1,,DATAFORTH/jcpenney & Flowing Wells High School,,
,CO,"Littleton, CO ",1799,,2016,2006,"39.604589,-105.14933",1,,Comcast NBCUniversal / EDGE / VKM Consulting / CNA Companies & Dakota Ridge Senior High School ,,
,KS,"Bonner Springs, KS ",1800,,2009,2006,"39.059206,-94.897022",1,,Ewing Marion Kauffman Foundation & Bonner Springs High School,,
,TX,"Kountze, TX ",1801,,2014,2006,"30.375078,-94.335287",1,,ICO Polymers / Willow Creek Investments & Kountze High School,,
,KS,"Kansas City, KS ",1802,,2016,2006,"39.167006,-94.826718",1,,KC STEM Alliance/Black & Veatch/Honeywell & Piper High ,,
,NY,"Port Washington, NY ",1803,,2016,2006,"40.8293887,-73.6813991",1,,Paul D Schreiber Senior High School ,,
,MO,"Kansas City, MO ",1804,,2008,2006,"39.236023,-94.569874",1,,Harley-Davidson Kansas City Plant / Ewing Marion Kauffman Foundation & Oak Park High School,,
,MO,"Kansas City, MO ",1805,,2010,2006,"39.066488,-94.543694",1,,"Boeing / State Street Investments / Under Tech, Inc. / Central Alumni Educational Foundation / DeVry University / Kansas City Power and Light / James and Charolette Dobbins / PREP-KC & Central High School House of Technology",,
,MO,"Smithville, MO ",1806,,2016,2006,"39.374093,-94.575489",1,,LABCONCO / Chuck and Joan Hitchborn / Darrell Smith / Main Line Taxi of Smithville / Community America Credit Union / Citizens Bank & Trust / WESCO Distribution & Smithville High ,,
MAR,NJ,"Allentown, NJ ",1807,,2016,2006,"40.173797,-74.586643",1,,United Technologies Aerospace Systems / NAVAIR / NORDSON EFD / Upper Freehold Regional School District Board of Education & Allentown High ,,
,NY,"Freeport, NY ",1808,,2013,2006,"40.6554190,-73.6032720",1,,Freeport High School,,
,KS,"Shawnee, KS ",1810,,2016,2006,"39.021652,-94.839462",1,,LeVic Plastics/Black and Veatch/Grundfos/Harold Payne Plastics Lc/Shawnee Cycle/Honeywell International/IBM/Hallmark Corporate Foundation/Structura/KC STEM Alliance/Festo/Dimensional Innovations/Ewing Marion Kauffman Foundation/Weaver's Auto Center/FastSigns/Gorilla Glue & Mill Valley High School ,,
MAR,NJ,"Newark, NJ ",1811,,2016,2006,"40.72399,-74.159757",1,,East Side ,,
#N/A,NJ,"Newark, NJ ",1813,1366,2006,2006,"40.738159,-74.171595",0,,ADP/Mercedes Benz/New Jersey Institute of Technology/PES&G & NEWARK PUBLIC SCHOOLS,,
,Canada-ON,"Toronto, ON, Canada",1814,,2008,2006,"43.773748,-79.446164",1,,TDSB & Northview Heights SS,,
,Canada-ON,"Toronto, ON, Canada",1815,,2016,2006,"43.788074,-79.323827",1,,TDSB & Sir John A Macdonald Collegiate Institute ,,
,MN,"Edina, MN ",1816,,2016,2006,"44.880763,-93.375984",1,,Medtronic / The Dow Chemical Co. / LivaNova / Veritas / Graco / PTC / Crosstown Surgery / Elicit LLC / HGA / The Violet Edge / Smiths Medical / Stratasys / Edina Education Fund / Cargill Inc. / The Nerdery / 3M Co. / KING / Calvary Lutheran Church / Dunwoody College of Technology / Jerry's do-it Best Hardware / NPC Robotics / TLC Electronics / Waytek Wire / Wanner Engineering Inc. / TJ's of Edina / Green Machine Boosters & Edina Senior High ,,
,TX,"Lubbock, TX ",1817,"A211, 1786",2016,1997,"33.610009,-101.820259",1,,CMS Properties/J & T Margaret Talkington Foundation/Texas Tech University/Texas Workforce Commission/Solidworks/St. Clair & Massey Orthodontics/Texas Tech University Engineering Opportunities Center/Design In Threads & Frenship H S & Lubbock H S & Coronado H S & Christ the King Cathedral School & Trinity Christian School ,,
,LA,"Shreveport, LA ",1818,,2016,2006,"32.409152,-93.816739",1,,Southwood High School ,,
,MD,"Rockville, MD ",1820,,2008,2006,"39.132104,-77.117718",1,,"Planet Technologies/BAE/Intelligent Automation, Inc./Materials Handling Systems, Inc. & Colonel Zadok Magruder High School",,
PNW,OR,"Portland, OR ",1823,,2013,2006,"45.51882,-122.688987",1,,"The Boeing Company/Cypress Semiconductor Corporation/Robert Matteri, MD/Portland Trail Blazers/Leotta Gordon Foundation/jcpenney & Lincoln High School",,
NE,NH,"Peterborough, NH ",1824,1729,2012,2006,"42.909802,-71.940639",1,,ES3 & Region 14 ATC & ConVal High School,,
,KS,"DeSoto, KS ",1825,,2016,2006,"39.25946,-94.91879",0,,"C K Enterprises, Inc. / Carpenter's District Council / Associated Women's Care Physicians, P.C. / Solidworks / Fike / Swiss Re / Kastle Grinding / Prestige One Landscaping / Hy-Vee / Optimist Club of Lake Lotawana / Lakewood Chiropractic, PC / The Horn Law Firm, PC / goodbidding.org / Power On Technologies, Inc. / Valent Aerostructures & Metro Homeschool Robotics, Inc. ",Homeschool,
#N/A,CO,"Arvada, CO ",1826,,2007,2006,"39.785284,-105.089634",1,,"NASA / Water Remediation Technology, LLC / Electric Power Training Center & Faith Christian Academy",,
,MO,"Kansas City, MO ",1827,,2016,2006,"38.969706,-94.581331",1,,Center HS PTA / Google / KCStem / Center Foundation & Center Sr. High ,,
,AZ,"Vail, AZ ",1828,,2016,2006,"32.057636,-110.721568",1,,"Caterpillar Inc., Tucson/Microchip Technology employees/Vail School District & Vail Academy & High School ",,
,VA,"Oak Hall, VA ",1829,,2016,2006,"37.678723,-75.725299",1,,NASA Robotics Alliance Project / Navy Surface Combat Systems Center / DoD STEM / NASA Wallops Flight Facility / ShopBot / Lulzbot / Rommel's Ace Hardware / Stein Air & Accomack County TEC Hub ,,
#N/A,VA,"Norfolk, VA ",1830,,2007,2006,"36.853739,-76.268135",1,,Old Dominion University / Massimo-Zanetta / Coast to Coast Contracting / Norfolk State University & Booker T Washington High School,,
NE,NH,"GIlford, NH ",1831,A65,2016,2006,"43.541698,-71.405326",1,,Plymouth State University/New Hampshire Ball Bearing/MVSB/Gilford Rotary Club & Gilford High School ,,
,CA,"San Jose, CA ",1834,,2010,2006,"37.366254,-121.819106",1,,Boeing/San Jose Job Corps & School for Integrated Academics and Technology,,
,Canada-ON,"Toronto, ON, Canada",1835,3590,2012,2006,"43.722558,-79.237614",1,,TDSB/Scarborough Toyota/Segway of Ontario/MTCService & RH King Academy,All female team,
,CA,"Los Angeles, CA ",1836,,2016,2006,"34.126086,-118.477805",1,,"Milken Community School/Mitchell Academy of Science and Technology/Jay Manufacturing Corp/Too Mac Engineering, Inc./Republic Lagun Machine Tool/The Marvin Group/Frazier Avation, Inc./Industrial Metal Supply/The Schloss Group at Merrill Lynch/The Boeing Company/Leslie Zola Science Scholarship/Dassault Systèmes SolidWorks Corp./Arnaco Powder Coating Co .inc/Academy Awning/Universal Compressor Services/Decker Design/Mastercam/Haas Automation, Inc./WestCoast Products & Design LLC & Milken Community School ",,
#N/A,LA,"Tallulah, LA ",1837,,2006,2006,"32.418335,-91.195033",1,,Ford Motors & LouisianaTechnical College & Madison High School,,
#N/A,ID,"Rexburg, ID ",1838,,2007,2006,"43.829173,-111.769641",1,,NASA Idaho Space Grant Consortium/Idaho National Laboratory & Madison High School,,
#N/A,ID,"Saint Anthony, ID ",1839,,2007,2006,"43.974788,-111.68399",1,,NASA/Idaho National Laboratory & South Fremont High School,,
#N/A,ID,"Sugar City, ID ",1840,,2006,2006,"43.871825,-111.739188",1,,Brigham Young University - Idaho/NASA & Sugar-Salem High School,,
,FL,"Plantation, FL ",1841,,2008,2006,"26.102722,-80.22105",1,,"Bank of America, Ace Underwriting Group, Devry University, Lucas Orthodontics, Prospect Plastics, EPTS, Identity Eye Wear, Identity Resort Wear & South Plantation High School",,
#N/A,FL,"Fort Pierce, FL ",1842,,2007,2006,"27.305958,-80.281454",1,,Indian River Community College & Port St. Lucie H.S. & Fort Pierce Westwood H.S. & Morningside Academy & Lincon Park Academy & Fort Pierce Central High School & St. Lucie West Centennial H.S.,,
#N/A,ID,"Rigby, ID ",1843,,2006,2006,"43.667768,-111.941266",1,,Brigham Young University - Idaho/NASA & Rigby High School,,
GA,GA,"Atlanta, GA ",1845,,2008,2006,"33.698894,-84.488759",1,,National Soc. Black Engineers / Teradata Corporation / ITT Technical Institute / Arthur Blank Family Foundation & D. M. Therrell High School,,
,Canada-ON,"Sarnia, ON, Canada",1846,,2014,2006,"42.964321,-82.391717",1,,Ontario Power Generation/Conseil scolaire catholique Providence & Saint-Francois-Xavier High School,,
,KS,"Kansas City, KS ",1847,,2016,2006,"39.115402,-94.656917",1,,Kansas City Kansas Public Schools/KC STEM Alliance & Wyandotte High ,,
GA,GA,"Marietta, GA ",1848,,2011,2006,"33.923136,-84.562626",0,,COACH Robotics/Johnson Research & Development/GE Volunteers/SRT-Nypro/Kimberly-Clark Corporation/Teradata/Qcept Technologies & Georgia Robotics Alliance,,
,DC,"Washington, DC ",1849,,2014,2006,"38.929437,-77.035464",1,,District of Columbia Public Schools & Bell Multicultural High School,,
,IL,"Chicago, IL ",1850,,2016,2006,"41.796088,-87.625756",1,,Ace Technical Charter High School ,,
