"key","name","event_code","event_type","city","state_prov","country","start_date","end_date","year","district.display_name","district.key","district.year","district.abbreviation","lat","long"
"2016txsa","Alamo Regional sponsored by Rackspace Hosting","txsa",0,"San Antonio","TX","USA","2016-03-09","2016-03-12",2016,,,,,29.4241219,-98.49362819999999
"2016utwv","Utah Regional","utwv",0,"West Valley City","UT","USA","2016-03-16","2016-03-19",2016,,,,,40.6916132,-112.0010501
"2016vabla","CHS District - Southwest Virginia Event","vabla",1,"Blacksburg","VA","USA","2016-03-11","2016-03-13",2016,"Chesapeake","2016chs",2016,"chs",37.2295733,-80.4139393
"2016vados","CHS District - Central Virginia Event","vados",1,"Doswell","VA","USA","2016-03-24","2016-03-26",2016,"Chesapeake","2016chs",2016,"chs",37.8654625,-77.4645517
"2016vahay","CHS District - Northern Virginia Event","vahay",1,"Haymarket","VA","USA","2016-03-04","2016-03-06",2016,"Chesapeake","2016chs",2016,"chs",38.8120591,-77.6363806
"2016vapor","CHS District - Hampton Roads Event","vapor",1,"Portsmouth","VA","USA","2016-03-18","2016-03-20",2016,"Chesapeake","2016chs",2016,"chs",36.8354258,-76.2982742
"2016varr","Rumble in the Roads","varr",99,"Virginia","VA","USA","2016-11-05","2016-11-05",2016,,,,,36.8529263,-75.97798499999999
"2016waahs","PNW District - Auburn Event","waahs",1,"Auburn","WA","USA","2016-04-01","2016-04-03",2016,"Pacific Northwest","2016pnw",2016,"pnw",47.30732279999999,-122.2284532
"2016waamv","PNW District - Auburn Mountainview Event","waamv",1,"Auburn","WA","USA","2016-03-03","2016-03-05",2016,"Pacific Northwest","2016pnw",2016,"pnw",47.30732279999999,-122.2284532
"2016waell","PNW District - Central Washington University Event","waell",1,"Ellensburg","WA","USA","2016-03-17","2016-03-19",2016,"Pacific Northwest","2016pnw",2016,"pnw",46.9965144,-120.5478474
"2016wagg","Washington Girls Generation","wagg",99,"Covington","WA","USA","2016-10-22","2016-10-22",2016,,,,,,
"2016wamou","PNW District - Mount Vernon Event","wamou",1,"Mount Vernon","WA","USA","2016-03-18","2016-03-20",2016,"Pacific Northwest","2016pnw",2016,"pnw",48.421216,-122.3340474
"2016wapp","Peak Performance","wapp",99,"SeaTac","WA","USA","2016-09-10","2016-09-10",2016,,,,,,
"2016warr","Robot Rewind","warr",99,"Spokane","WA","USA","2016-11-11","2016-11-12",2016,,,,,,
"2016wasno","PNW District - Glacier Peak Event","wasno",1,"Snohomish","WA","USA","2016-03-11","2016-03-13",2016,"Pacific Northwest","2016pnw",2016,"pnw",47.91287560000001,-122.0981847
"2016waspo","PNW District - West Valley Event","waspo",1,"Spokane","WA","USA","2016-03-03","2016-03-05",2016,"Pacific Northwest","2016pnw",2016,"pnw",47.6587802,-117.4260465
"2016week0","Week 0","week0",100,"Merrimack","NH","USA","2016-02-20","2016-02-20",2016,,,,,42.8678693,-71.49483219999999
"2016wimi","Wisconsin Regional","wimi",0,"Milwaukee","WI","USA","2016-03-23","2016-03-26",2016,,,,,,
"2016wiwi","Where is Wolcott Invitational","wiwi",99,"Wolcott","CT","USA","2016-06-11","2016-06-11",2016,,,,,41.6023196,-72.9867718
"2016wmri","West Michigan Robotics Invitational","wmri",99,"Zeeland","MI","USA","2016-10-29","2016-10-29",2016,,,,,,
"2016wvrox","West Virginia RObotics eXtreme","wvrox",99,"Morgantown","WV","USA","2016-08-05","2016-08-06",2016,,,,,39.629526,-79.95589679999999
