"key","name","event_code","event_type","city","state_prov","country","start_date","end_date","year","district.display_name","district.key","district.year","district.abbreviation","lat","long"
"2016gacol","PCH District - Columbus Event","gacol",1,"Columbus","GA","USA","2016-03-10","2016-03-12",2016,"Peachtree","2016pch",2016,"pch",32.4609764,-84.9877094
"2016gadal","PCH District - Dalton Event","gadal",1,"Dalton","GA","USA","2016-03-17","2016-03-19",2016,"Peachtree","2016pch",2016,"pch",34.7698021,-84.9702228
"2016gagr","GRITS - Georgia Robotics Invitations Tournament and Showcase","gagr",99,"Gainesville","GA","USA","2016-10-22","2016-10-22",2016,,,,,,
"2016gaken","PCH District - Kennesaw Event","gaken",1,"Kennesaw","GA","USA","2016-04-08","2016-04-10",2016,"Peachtree","2016pch",2016,"pch",34.0234337,-84.6154897
"2016gal","Galileo Division","gal",3,"St. Louis","MO","USA","2016-04-27","2016-04-30",2016,,,,,38.6270025,-90.19940419999999
"2016glbbb","Great Lakes Bay Bot Bash","glbbb",99,"Michigan","MI","USA","2016-10-07","2016-10-08",2016,,,,,44.3148443,-85.60236429999999
"2016havoc","HAVOC","havoc",99,"Horsham","PA","USA","2016-09-24","2016-09-24",2016,,,,,40.1784422,-75.1285061
"2016heat","Summer Heat","heat",99,"South Portland","ME","USA","2016-07-16","2016-07-16",2016,,,,,43.6414716,-70.2408811
"2016hiho","Hawaii Regional","hiho",0,"Honolulu","HI","USA","2016-03-30","2016-04-02",2016,,,,,21.3069444,-157.8583333
"2016hop","Hopper Division","hop",3,"St. Louis","MO","USA","2016-04-27","2016-04-30",2016,,,,,38.6270025,-90.19940419999999
"2016iacf","Iowa Regional","iacf",0,"Cedar Falls","IA","USA","2016-03-23","2016-03-26",2016,,,,,42.5348993,-92.4453161
"2016idbo","Idaho Regional","idbo",0,"Boise","ID","USA","2016-03-30","2016-04-02",2016,,,,,43.6187102,-116.2146068
"2016ilch","Midwest Regional","ilch",0,"Chicago","IL","USA","2016-03-30","2016-04-02",2016,,,,,41.8781136,-87.6297982
"2016ilpe","Central Illinois Regional","ilpe",0,"Peoria","IL","USA","2016-03-16","2016-03-19",2016,,,,,40.6936488,-89.5889864
"2016ilrr","Rock River Off-Season Competition","ilrr",99,"Rockford","IL","USA","2016-07-30","2016-07-30",2016,,,,,42.2711311,-89.0939952
"2016inbbb","Boiler Bot Battle","inbbb",99,,"IN","USA","2016-09-16","2016-09-17",2016,,,,,32.5775393,-97.3527615
"2016incmp","Indiana State Championship","incmp",2,"Kokomo","IN","USA","2016-04-14","2016-04-16",2016,"Indiana","2016in",2016,"in",40.486427,-86.13360329999999
"2016inpmh","IN District - Perry Meridian Event","inpmh",1,"Indianapolis","IN","USA","2016-03-24","2016-03-26",2016,"Indiana","2016in",2016,"in",39.768403,-86.158068
"2016inwch","IN District - Walker Warren Event","inwch",1,"Indianapolis","IN","USA","2016-03-18","2016-03-20",2016,"Indiana","2016in",2016,"in",39.768403,-86.158068
