"event_name","event_name_analyzed","event_code","fk_program_seasons","event_subtype","event_subtype_moniker","event_type","event_venue","event_venue_sort","event_venue_analyzed","event_stateprov","event_country","event_city","event_address1","event_address2","date_end","date_start","event_postalcode","event_season","capacity_total","event_web_url","flag_bag_and_tag_event","program_code_display","program_name","flag_display_in_vims","ff_event_type_sort_order","countryCode","open_capacity","event_fee_currency","hotel_document","id","lat","lon","event_venue_room","event_fee_base","community_event_contact_name_first","community_event_contact_name_last","community_event_contact_email"
"PNW District - West Valley Event","PNW District - West Valley Event","WASPO",235,"Qualifying Event","District Event","FRC","West Valley High School","West Valley High School","West Valley High School","WA","USA","Spokane","8301 E. Buckeye Avenue",,"2017-03-04T00:00:00","2017-03-02T00:00:00","99212",2017,40,"http://www.firstwa.org",true,"FRC","FIRST Robotics Competition",true,200,"US",10,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",22569,47.660806,-117.314906,"",0,"","",
"PNW District - Wilsonville Event","PNW District - Wilsonville Event","ORWIL",235,"Qualifying Event","District Event","FRC","Wilsonville High School","Wilsonville High School","Wilsonville High School","OR","USA","Wilsonville","6800 SW Wilsonville Road",,"2017-03-11T00:00:00","2017-03-09T00:00:00","97070",2017,40,"http://oregonfirst.org/",true,"FRC","FIRST Robotics Competition",true,200,"US",0,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",22649,45.301823,-122.762197,,0,"","",
"Pacific Northwest District Championship","Pacific Northwest District Championship","PNCMP",235,"Qualifying Championship","District Championship","FRC","Eastern Washington University - Reese Court","Eastern Washington University - Reese Court","Eastern Washington University - Reese Court","WA","USA","Cheney","526 5th Street",,"2017-04-08T00:00:00","2017-04-05T00:00:00","99004",2017,64,"http://www.firstwa.org",true,"FRC","FIRST Robotics Competition",true,100,"US",0,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",22651,47.43942,-117.62736,,0,"","",
"Palmetto Regional","Palmetto Regional","SCMB",235,"Regional","Regional","FRC","Myrtle Beach Convention Center","Myrtle Beach Convention Center","Myrtle Beach Convention Center","SC","USA","Myrtle Beach","2101 Oak Street",,"2017-03-04T00:00:00","2017-03-01T00:00:00","29578",2017,66,"http://www.myrtlebeachfirstrobotics.com",true,"FRC","FIRST Robotics Competition",true,3,"US",4,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",22531,33.726237,-78.844532,"",0,"","",
"Peachtree State Championship","Peachtree State Championship","GACMP",235,"Qualifying Championship","District Championship","FRC","University of Georgia - Stegeman Coliseum","University of Georgia - Stegeman Coliseum","University of Georgia - Stegeman Coliseum","GA","USA","Athens","100 Smith Street",,"2017-04-08T00:00:00","2017-04-05T00:00:00","30602",2017,45,"http://www.gafirst.org",true,"FRC","FIRST Robotics Competition",true,100,"US",0,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",22705,33.903503,-83.318464,,,,,
"Rocket City Regional","Rocket City Regional","ALHU",235,"Regional","Regional","FRC","Von Braun Center","Von Braun Center","Von Braun Center","AL","USA","Huntsville","700 Monroe Street SW",,"2017-03-25T00:00:00","2017-03-22T00:00:00","35801",2017,60,"http://firstinalabama.org/events/frc-events/rocket-city-regional/",true,"FRC","FIRST Robotics Competition",true,3,"US",10,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",22707,34.725222,-86.566317,,,,,
"SBPLI Long Island Regional","SBPLI Long Island Regional","NYLI",235,"Regional","Regional","FRC","Hofstra University","Hofstra University","Hofstra University","NY","USA","Hempstead","Hofstra Arena",,"2017-04-01T00:00:00","2017-03-29T00:00:00","11550",2017,55,"http://www.sbpli-lifirst.org",true,"FRC","FIRST Robotics Competition",true,3,"US",0,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",22535,40.708785,-73.624573,"",0,"","",
"Sacramento Regional","Sacramento Regional","CADA",235,"Regional","Regional","FRC","UC Davis ARC Pavilion","UC Davis ARC Pavilion","UC Davis ARC Pavilion","CA","USA","Davis","Corner of Orchard and LaRue",,"2017-03-25T00:00:00","2017-03-22T00:00:00","95616",2017,60,"http://www.firstsac.org",true,"FRC","FIRST Robotics Competition",true,3,"US",4,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",22521,38.556431,-121.746377,"",0,"","",""
"San Diego Regional presented by Qualcomm","San Diego Regional presented by Qualcomm","CASD",235,"Regional","Regional","FRC","Del Mar Fairgrounds Arena Complex","Del Mar Fairgrounds Arena Complex","Del Mar Fairgrounds Arena Complex","CA","USA","Del Mar","2260 Jimmy Durante Blvd",,"2017-03-11T00:00:00","2017-03-08T00:00:00","92014",2017,66,"http://sandiegoregional.com/",true,"FRC","FIRST Robotics Competition",true,3,"US",0,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",22515,32.96187,-117.232665,"",0,"","",
"San Francisco Regional","San Francisco Regional","CASF",235,"Regional","Regional","FRC","St. Ignatius College Preparatory","St. Ignatius College Preparatory","St. Ignatius College Preparatory","CA","USA","San Francisco","2001 37th Avenue",,"2017-03-19T00:00:00","2017-03-16T00:00:00","94116",2017,42,"http://www.firstsfbay.org",true,"FRC","FIRST Robotics Competition",true,3,"US",1,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",25445,37.741108,-122.485687,,,,,
"Seven Rivers Regional","Seven Rivers Regional","WILA",235,"Regional","Regional","FRC","La Crosse Center","La Crosse Center","La Crosse Center","WI","USA","La Crosse","300 Harborview Plaza",,"2017-04-15T00:00:00","2017-04-12T00:00:00","54601",2017,60,,true,"FRC","FIRST Robotics Competition",true,3,"US",9,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",25063,43.795836,-91.221089,,,,,
"Shenzhen Regional","Shenzhen Regional","GUSH",235,"Regional","Regional","FRC","The Sports Center of Shenzhen University","The Sports Center of Shenzhen University","The Sports Center of Shenzhen University","44","China","Shenzhen City","No. 2032 Liuxian Road","Nanshan District","2017-03-11T00:00:00","2017-03-08T00:00:00","518000",2017,50,"http://share.hisports.tv/HiSportVideo.aspx?c=6208",true,"FRC","FIRST Robotics Competition",true,3,"CN",9,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",25287,0,0,,,,,
"Silicon Valley Regional","Silicon Valley Regional","CASJ",235,"Regional","Regional","FRC","San Jose State University - The Event Center","San Jose State University - The Event Center","San Jose State University - The Event Center","CA","USA","San Jose","290 South 7th Street",,"2017-04-01T00:00:00","2017-03-29T00:00:00","95112",2017,60,"http://www.firstsv.org",true,"FRC","FIRST Robotics Competition",true,3,"US",0,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",22507,37.345558,-121.883995,"",0,"","",""
"Smoky Mountains Regional","Smoky Mountains Regional","TNKN",235,"Regional","Regional","FRC","Thompson-Boling Arena - University of Tennessee","Thompson-Boling Arena - University of Tennessee","Thompson-Boling Arena - University of Tennessee","TN","USA","Knoxville","1600 Phillip Fulmer Way #202",,"2017-03-25T00:00:00","2017-03-22T00:00:00","37996",2017,50,"http://tnfirst.org/events/",true,"FRC","FIRST Robotics Competition",true,3,"US",1,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",22573,35.956034,-83.937037,"",0,"","",""
"South Florida Regional ","South Florida Regional ","FLWP",235,"Regional","Regional","FRC","Palm Beach Convention Center","Palm Beach Convention Center","Palm Beach Convention Center","FL","USA","West Palm Beach","650 Okeechobee Blvd",,"2017-03-04T00:00:00","2017-03-01T00:00:00","33401",2017,60,"",true,"FRC","FIRST Robotics Competition",true,3,"US",13,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",22591,26.705811,-80.064783,"",0,"","",""
